"","Well.Name","Site.ID","Cell..Positive.W2..MultiWaveScoring.","Cell..W1.Stained.Area..MultiWaveScoring.","Cell..W1.Integrated.Intensity..MultiWaveScoring.","Cell..W2.Stained.Area..MultiWaveScoring.","Cell..W2.Cell.Integr.Intensity..MultiWaveScoring.","Cell..Total.Area..MultiWaveScoring."
"1","B02",1,1,10.14,232103,92.949997,83604,92.949997
"2","B02",1,1,13.52,482353,52.389999,102449,52.389999
"3","B02",1,1,84.5,1262063,273.779999,231158,273.779999
"4","B02",1,1,76.050003,1745037,265.329987,332290,265.329987
"5","B02",1,1,77.739998,1727190,255.190002,362149,255.190002
"6","B02",1,1,70.980003,1215443,187.589996,142306,189.279999
"7","B02",1,1,74.360001,1545921,204.490005,294451,204.490005
"8","B02",1,1,74.360001,1624791,233.220001,299128,233.220001
"9","B02",1,1,67.599998,1614570,135.199997,118859,135.199997
"10","B02",1,1,69.290001,1243439,236.600006,195633,236.600006
"11","B02",1,1,69.290001,1523726,155.479996,129146,155.479996
"12","B02",1,1,62.529999,1202741,295.75,287322,295.75
"13","B02",1,1,64.220001,1430928,194.350006,315017,194.350006
"14","B02",1,1,65.910004,1485082,165.619995,191141,165.619995
"15","B02",1,1,65.910004,1668847,226.460007,327588,226.460007
"16","B02",1,1,57.459999,940398,108.160004,87504,113.230003
"17","B02",1,1,59.150002,1366492,86.190002,124797,86.190002
"18","B02",1,1,60.84,1370483,197.729996,314339,197.729996
"19","B02",1,1,54.080002,1207433,113.230003,138035,113.230003
"20","B02",1,1,54.080002,1206563,77.739998,98081,77.739998
"21","B02",1,1,55.77,1023699,138.580002,118171,138.580002
"22","B02",1,1,55.77,1383384,114.919998,132541,114.919998
"23","B02",1,1,57.459999,1034567,116.610001,102390,116.610001
"24","B02",1,1,57.459999,1375745,280.540009,467669,280.540009
"25","B02",1,1,52.389999,1275277,141.960007,267024,141.960007
"26","B02",1,1,54.080002,980890,121.68,103427,121.68
"27","B02",1,1,54.080002,1578827,116.610001,178035,116.610001
"28","B02",1,1,54.080002,1703073,76.050003,144494,76.050003
"29","B02",1,1,54.080002,1694561,182.520004,324543,182.520004
"30","B02",1,1,50.700001,1286243,268.709991,421639,268.709991
"31","B02",1,1,50.700001,1566539,148.720001,294950,148.720001
"32","B02",1,1,50.700001,1304042,165.619995,281789,165.619995
"33","B02",1,1,52.389999,1493122,103.089996,175387,103.089996
"34","B02",1,1,52.389999,1196122,106.470001,142858,106.470001
"35","B02",1,1,43.939999,1280872,101.400002,152556,101.400002
"36","B02",1,1,43.939999,853389,76.050003,58870,76.050003
"37","B02",1,1,43.939999,734191,234.910004,195465,234.910004
"38","B02",1,1,47.32,894657,82.809998,87990,82.809998
"39","B02",1,1,47.32,1569735,109.849998,185265,109.849998
"40","B02",1,1,49.009998,1166676,98.019997,77693,98.019997
"41","B02",1,1,40.560001,1486346,67.599998,137550,67.599998
"42","B02",1,1,42.25,1542335,91.260002,185001,91.260002
"43","B02",1,1,42.25,1149394,91.260002,165635,91.260002
"44","B02",1,1,42.25,1338628,94.639999,182277,94.639999
"45","B02",1,1,43.939999,936431,131.820007,154999,131.820007
"46","B02",1,1,43.939999,1265832,103.089996,146414,103.089996
"47","B02",1,1,32.110001,961688,52.389999,112019,52.389999
"48","B02",1,1,33.799999,805914,86.190002,110095,86.190002
"49","B02",1,1,35.490002,832985,62.529999,62487,62.529999
"50","B02",1,1,40.560001,785003,64.220001,63501,64.220001
"51","B02",1,1,25.35,713909,119.989998,209757,119.989998
"52","B02",1,1,27.040001,830870,106.470001,198143,106.470001
"53","B02",1,1,27.040001,567024,199.419998,217610,199.419998
"54","B02",1,1,32.110001,814459,162.240005,334300,162.240005
"55","B02",1,1,16.9,579304,77.739998,148092,77.739998
"56","B02",1,1,20.280001,742359,89.57,217784,89.57
"57","B02",1,1,15.21,198112,153.789993,134957,153.789993
"58","B02",2,1,11.83,262058,148.720001,192084,148.720001
"59","B02",2,1,72.669998,1696300,224.770004,381170,224.770004
"60","B02",2,1,74.360001,1641611,160.550003,162068,160.550003
"61","B02",2,1,69.290001,1293945,169,158888,169
"62","B02",2,1,70.980003,1398983,185.899994,190986,185.899994
"63","B02",2,1,70.980003,1617582,147.029999,167813,147.029999
"64","B02",2,1,70.980003,1674169,72.669998,80218,74.360001
"65","B02",2,1,70.980003,1714444,261.950012,536292,261.950012
"66","B02",2,1,70.980003,1626285,165.619995,232378,165.619995
"67","B02",2,1,64.220001,1508950,263.640015,445840,263.640015
"68","B02",2,1,65.910004,1405564,167.309998,180824,167.309998
"69","B02",2,1,55.77,1643269,131.820007,169514,131.820007
"70","B02",2,1,59.150002,1258820,169,176442,169
"71","B02",2,1,59.150002,1056491,82.809998,73548,82.809998
"72","B02",2,1,62.529999,1641101,84.5,126872,84.5
"73","B02",2,1,62.529999,1272116,260.26001,302712,260.26001
"74","B02",2,1,52.389999,1195349,185.899994,266716,185.899994
"75","B02",2,1,54.080002,1428394,157.169998,234199,157.169998
"76","B02",2,1,54.080002,1222179,275.470001,432511,275.470001
"77","B02",2,1,55.77,1483576,167.309998,202432,167.309998
"78","B02",2,1,55.77,1393516,189.279999,322465,189.279999
"79","B02",2,1,55.77,1589555,123.370003,239163,123.370003
"80","B02",2,1,52.389999,1304676,179.139999,314791,179.139999
"81","B02",2,1,52.389999,1638174,92.949997,170937,92.949997
"82","B02",2,1,52.389999,1400486,243.360001,526998,243.360001
"83","B02",2,1,52.389999,1470407,126.75,280445,126.75
"84","B02",2,1,52.389999,1585144,62.529999,113304,62.529999
"85","B02",2,1,49.009998,1462897,103.089996,192845,103.089996
"86","B02",2,1,49.009998,1358206,157.169998,281756,157.169998
"87","B02",2,1,49.009998,1387766,185.899994,337753,185.899994
"88","B02",2,1,49.009998,1400573,86.190002,195816,86.190002
"89","B02",2,1,47.32,1346652,101.400002,150193,101.400002
"90","B02",2,1,47.32,1307287,163.929993,301495,163.929993
"91","B02",2,1,47.32,995124,86.190002,115599,86.190002
"92","B02",2,1,47.32,1406842,52.389999,86668,52.389999
"93","B02",2,1,49.009998,1295888,214.630005,354657,214.630005
"94","B02",2,1,45.630001,1345887,153.789993,251304,153.789993
"95","B02",2,1,45.630001,1376328,128.440002,268664,128.440002
"96","B02",2,1,45.630001,1548019,103.089996,222037,103.089996
"97","B02",2,1,45.630001,1389797,81.120003,100239,81.120003
"98","B02",2,1,45.630001,1234102,103.089996,154272,103.089996
"99","B02",2,1,45.630001,1380415,133.509995,234729,133.509995
"100","B02",2,1,40.560001,1132675,136.889999,240910,136.889999
"101","B02",2,1,42.25,1329629,67.599998,93573,67.599998
"102","B02",2,1,42.25,905339,77.739998,88401,77.739998
"103","B02",2,1,42.25,1163571,145.339996,316152,145.339996
"104","B02",2,1,43.939999,1502131,114.919998,239397,114.919998
"105","B02",2,1,45.630001,1189286,108.160004,129832,108.160004
"106","B02",2,1,38.869999,1326703,256.880005,579267,256.880005
"107","B02",2,1,38.869999,1041037,64.220001,106130,64.220001
"108","B02",2,1,38.869999,1309612,65.910004,129078,65.910004
"109","B02",2,1,40.560001,1215454,52.389999,70228,52.389999
"110","B02",2,1,40.560001,1116791,228.149994,408367,228.149994
"111","B02",2,1,35.490002,1263203,77.739998,175807,77.739998
"112","B02",2,1,37.18,1312201,116.610001,274625,116.610001
"113","B02",2,1,37.18,913470,119.989998,221496,119.989998
"114","B02",2,1,37.18,1160964,172.380005,311381,172.380005
"115","B02",2,1,37.18,1234267,76.050003,146130,76.050003
"116","B02",2,1,37.18,1055528,136.889999,223046,136.889999
"117","B02",2,1,33.799999,992737,130.130005,211803,130.130005
"118","B02",2,1,35.490002,642024,167.309998,165029,167.309998
"119","B02",2,1,35.490002,936047,169,272942,169
"120","B02",2,1,35.490002,994151,69.290001,94458,69.290001
"121","B02",2,1,35.490002,980060,87.879997,145454,87.879997
"122","B02",2,1,35.490002,983320,147.029999,310574,147.029999
"123","B02",2,1,25.35,322295,92.949997,84934,92.949997
"124","B02",2,1,28.73,842834,69.290001,163380,69.290001
"125","B02",2,1,30.42,778688,52.389999,99603,52.389999
"126","B02",2,1,32.110001,775506,87.879997,82744,87.879997
"127","B02",2,1,32.110001,774209,265.329987,464380,265.329987
"128","B02",2,1,33.799999,930786,57.459999,103457,57.459999
"129","B02",2,1,23.66,403267,163.929993,158717,163.929993
"130","B02",2,1,23.66,369517,87.879997,92646,87.879997
"131","B02",2,1,23.66,695618,123.370003,220104,123.370003
"132","B02",2,1,16.9,540626,59.150002,116112,59.150002
"133","B02",2,1,16.9,276546,179.139999,170338,179.139999
"134","B02",2,1,20.280001,337769,60.84,57094,60.84
"135","B02",3,1,21.969999,750833,116.610001,208672,116.610001
"136","B02",3,1,27.040001,912266,60.84,110381,60.84
"137","B02",3,1,28.73,828253,55.77,52838,55.77
"138","B02",3,1,72.669998,1295628,283.920013,288287,283.920013
"139","B02",3,1,72.669998,1253023,150.410004,128558,150.410004
"140","B02",3,1,79.43,1504695,101.400002,91655,114.919998
"141","B02",3,1,81.120003,1377161,267.019989,254230,267.019989
"142","B02",3,1,70.980003,1564897,169,137161,170.690002
"143","B02",3,1,72.669998,1584802,202.800003,314407,202.800003
"144","B02",3,1,72.669998,1637802,192.660004,278385,192.660004
"145","B02",3,1,72.669998,1685858,207.869995,265408,207.869995
"146","B02",3,1,62.529999,1522239,84.5,91145,84.5
"147","B02",3,1,64.220001,1460028,162.240005,225928,162.240005
"148","B02",3,1,67.599998,1417649,177.449997,230338,177.449997
"149","B02",3,1,59.150002,1326566,121.68,188286,121.68
"150","B02",3,1,59.150002,1375920,135.199997,196493,135.199997
"151","B02",3,1,60.84,1611004,103.089996,137127,104.779999
"152","B02",3,1,62.529999,1181590,260.26001,284023,260.26001
"153","B02",3,1,52.389999,1727036,197.729996,325961,197.729996
"154","B02",3,1,54.080002,1372505,241.669998,288163,241.669998
"155","B02",3,1,54.080002,1323802,157.169998,223887,157.169998
"156","B02",3,1,55.77,962992,148.720001,140508,148.720001
"157","B02",3,1,45.630001,1141672,197.729996,394429,197.729996
"158","B02",3,1,47.32,1185992,57.459999,65986,57.459999
"159","B02",3,1,47.32,1179026,76.050003,60537,76.050003
"160","B02",3,1,49.009998,1433656,128.440002,160109,128.440002
"161","B02",3,1,50.700001,921797,113.230003,101449,113.230003
"162","B02",3,1,50.700001,1293409,163.929993,242808,163.929993
"163","B02",3,1,42.25,1090343,72.669998,100675,72.669998
"164","B02",3,1,43.939999,841993,70.980003,65929,70.980003
"165","B02",3,1,45.630001,1289933,214.630005,293906,214.630005
"166","B02",3,1,45.630001,1408694,89.57,74372,91.260002
"167","B02",3,1,32.110001,930107,57.459999,90025,57.459999
"168","B02",3,1,35.490002,1043080,121.68,138719,121.68
"169","B02",3,1,35.490002,1079307,57.459999,66263,57.459999
"170","B02",3,1,37.18,1154271,91.260002,149964,91.260002
"171","B02",3,1,38.869999,1110662,76.050003,86358,76.050003
"172","B02",4,1,10.14,358402,72.669998,187708,72.669998
"173","B02",4,1,76.050003,1250587,179.139999,160450,179.139999
"174","B02",4,1,69.290001,1693523,223.080002,324506,223.080002
"175","B02",4,1,70.980003,1245771,101.400002,102425,123.370003
"176","B02",4,1,72.669998,1693018,145.339996,142818,145.339996
"177","B02",4,1,67.599998,1199878,103.089996,84995,113.230003
"178","B02",4,1,64.220001,1621774,172.380005,304072,172.380005
"179","B02",4,1,65.910004,1437850,165.619995,165592,165.619995
"180","B02",4,1,62.529999,1480590,158.860001,214644,158.860001
"181","B02",4,1,62.529999,921466,133.509995,107964,133.509995
"182","B02",4,1,60.84,1701422,187.589996,339217,187.589996
"183","B02",4,1,60.84,1747050,136.889999,219923,136.889999
