"","Well.Name","Site.ID","Cell..Positive.W2..MultiWaveScoring.","Cell..W1.Stained.Area..MultiWaveScoring.","Cell..W1.Integrated.Intensity..MultiWaveScoring.","Cell..W2.Stained.Area..MultiWaveScoring.","Cell..W2.Cell.Integr.Intensity..MultiWaveScoring.","Cell..Total.Area..MultiWaveScoring."
"1","B02",1,1,50.700001,462491,50.700001,375099,50.700001
"2","B02",1,1,50.700001,512503,50.700001,394972,50.700001
"3","B02",1,1,52.389999,457651,52.389999,379569,52.389999
"4","B02",1,1,54.080002,493598,54.080002,466099,54.080002
"5","B02",1,1,54.080002,475355,54.080002,169285,54.080002
"6","B02",1,1,54.080002,507323,54.080002,238564,54.080002
"7","B02",1,1,55.77,612918,54.080002,218402,55.77
"8","B02",1,1,57.459999,699331,54.080002,164053,57.459999
"9","B02",1,1,59.150002,601188,59.150002,287761,59.150002
"10","B02",1,1,60.84,580194,60.84,66547,60.84
"11","B02",1,1,62.529999,558103,62.529999,282033,62.529999
"12","B02",1,1,64.220001,536851,64.220001,324019,64.220001
"13","B02",1,1,64.220001,570696,64.220001,298745,64.220001
"14","B02",1,1,65.910004,556519,65.910004,338960,65.910004
"15","B02",1,1,65.910004,536377,65.910004,349821,65.910004
"16","B02",1,1,65.910004,715330,60.84,41492,65.910004
"17","B02",1,1,65.910004,597057,62.529999,262948,65.910004
"18","B02",1,1,65.910004,576855,65.910004,209337,65.910004
"19","B02",1,1,65.910004,637172,65.910004,276224,65.910004
"20","B02",1,1,67.599998,534972,60.84,428165,67.599998
"21","B02",1,1,67.599998,549927,64.220001,303018,67.599998
"22","B02",1,1,67.599998,593615,67.599998,304792,67.599998
"23","B02",1,1,67.599998,553877,67.599998,417039,67.599998
"24","B02",1,1,67.599998,645930,67.599998,183112,67.599998
"25","B02",1,1,69.290001,538648,64.220001,438841,69.290001
"26","B02",1,1,69.290001,635411,69.290001,152711,69.290001
"27","B02",1,1,69.290001,556372,65.910004,239963,69.290001
"28","B02",1,1,69.290001,569103,67.599998,465982,69.290001
"29","B02",1,1,69.290001,562615,69.290001,332270,69.290001
"30","B02",1,1,69.290001,652684,69.290001,305147,69.290001
"31","B02",1,1,69.290001,545420,69.290001,118772,69.290001
"32","B02",1,1,70.980003,483874,54.080002,171146,70.980003
"33","B02",1,1,70.980003,547089,70.980003,412433,70.980003
"34","B02",1,1,70.980003,631301,70.980003,315397,70.980003
