Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1474244,"Extracellular matrix organization",67,329,0.02305374535771845,1.1460388193995641E-11,1.6319592788249793E-8,208,319,0.023495617588568902,9606,Homo sapiens,"Col18a1;Eln;Tnc;Itgax;Adam19;Ctss;Vcan;Itgam;Pxdn;Pecam1;Kdr;Ltbp2;Tnr;Ltbp1;Col1a2;Mmp12;Col28a1;Mmp14;Tnxb;Col5a2;Mmp15;Adamts4;Adamts2;Bgn;Lama5;Itgb2;Lama3;Lama4;Pcolce;Serpine1;Icam2;Col15a1;Ceacam1;Sdc3;Fn1;Itga5;Nid2;Nid1;Lrp4;Tgfb1;Ttr;Itga2;Colgalt2;Loxl2;Pdgfb;Lamb1;Cd44;Jam2;Capn9;Col6a1;Col6a2;Lum;Mfap2;Col4a1;Col25a1;Col4a2;Col6a6;Col8a1;Col6a3;Timp2;Hapln1;Tmprss6;Vcam1;Sparc;Spock3;Fbn1","","R-HSA-8944265;R-HSA-2002460;R-HSA-2473511;R-HSA-216064;R-HSA-1592349;R-HSA-216069;R-HSA-216068;R-HSA-2545196;R-HSA-216082;R-HSA-1564164;R-HSA-2002440;R-HSA-2533950;R-HSA-1564169;R-HSA-2533944;R-HSA-2250301;R-HSA-2482180;R-HSA-8941234;R-HSA-2002466;R-HSA-2537499;R-HSA-2465890;R-HSA-2467436;R-HSA-2473584;R-HSA-2473596;R-HSA-2752115;R-HSA-1592387;R-HSA-2395257;R-HSA-2473594;R-HSA-1650808;R-HSA-2328129;R-HSA-1614460;R-HSA-1604732;R-HSA-1614461;R-HSA-2731075;R-HSA-1604722;R-HSA-2731074;R-HSA-2533965;R-HSA-2396234;R-HSA-2731078;R-HSA-2328145;R-HSA-2395223;R-HSA-2684507;R-HSA-2533970;R-HSA-2426450;R-HSA-2168923;R-HSA-2465883;R-HSA-8948232;R-HSA-8948234;R-HSA-2395302;R-HSA-1474196;R-HSA-2426530;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-4084912;R-HSA-8948231;R-HSA-4084910;R-HSA-2396337;R-HSA-2327733;R-HSA-2395314;R-HSA-2395324;R-HSA-4084903;R-HSA-2327738;R-HSA-2395320;R-HSA-1604741;R-HSA-2395322;R-HSA-2161282;R-HSA-2022073;R-HSA-1454781;R-HSA-2327695;R-HSA-2731141;R-HSA-2161293;R-HSA-1981104;R-HSA-2559639;R-HSA-1454757;R-HSA-1474210;R-HSA-2470555;R-HSA-2395364;R-HSA-2168038;R-HSA-265423;R-HSA-2396399;R-HSA-1474266;R-HSA-2168046;R-HSA-265428;R-HSA-8944216;R-HSA-1454791;R-HSA-8944218;R-HSA-265424;R-HSA-1981128;R-HSA-265426;R-HSA-8944223;R-HSA-2327803;R-HSA-1605825;R-HSA-1981120;R-HSA-8944214;R-HSA-2471621;R-HSA-2327746;R-HSA-2022141;R-HSA-3787997;R-HSA-2395328;R-HSA-1566962;R-HSA-1604350;R-HSA-3907292;R-HSA-2537665;R-HSA-2395340;R-HSA-8944230;R-HSA-1454822;R-HSA-8944250;R-HSA-2396370;R-HSA-1981157;R-HSA-8944247;R-HSA-3828025;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-2426676;R-HSA-1566981;R-HSA-3788075;R-HSA-2467633;R-HSA-1566979;R-HSA-1458433;R-HSA-198941;R-HSA-2466106;R-HSA-3788061;R-HSA-4084507;R-HSA-4084505;R-HSA-4084501;R-HSA-2534160;R-HSA-2318623;R-HSA-2514790;R-HSA-2327909;R-HSA-2534240;R-HSA-1980233;R-HSA-4085087;R-HSA-2213192;R-HSA-2681667;R-HSA-2327886;R-HSA-2213201;R-HSA-2213200;R-HSA-2514772;R-HSA-8948219;R-HSA-2243926;R-HSA-2213205;R-HSA-2152276;R-HSA-2213207;R-HSA-8948222;R-HSA-2681694;R-HSA-2681681;R-HSA-2243931;R-HSA-114563;R-HSA-4086204;R-HSA-210304;R-HSA-3791295;R-HSA-2471842;R-HSA-199050;R-HSA-2396079;R-HSA-2424246;R-HSA-8848658;R-HSA-2396083;R-HSA-2424243;R-HSA-2424252;R-HSA-2466238;R-HSA-349593;R-HSA-2514823;R-HSA-4088220;R-HSA-2514831;R-HSA-4085133;R-HSA-2426259;R-HSA-2485148;R-HSA-1602466;R-HSA-349626;R-HSA-2328033;R-HSA-2328037;R-HSA-4539779;R-HSA-1564112;R-HSA-2129385;R-HSA-1592278;R-HSA-202706;R-HSA-202704;R-HSA-2328048;R-HSA-2533874;R-HSA-1592270;R-HSA-2426355;R-HSA-202718;R-HSA-202723;R-HSA-2002428;R-HSA-1592314;R-HSA-202727;R-HSA-4088281;R-HSA-2129353;R-HSA-216040;R-HSA-2089971;R-HSA-2129357;R-HSA-3785684;R-HSA-216045;R-HSA-3791319;R-HSA-1592310;R-HSA-216051;R-HSA-216050;R-HSA-2129362;R-HSA-216048;R-HSA-4086216;R-HSA-4088264;R-HSA-2396124;R-HSA-1564142;R-HSA-216058;R-HSA-2129375;R-HSA-2002401"
R-HSA-3000178,"ECM proteoglycans",26,79,0.005535701772826011,3.2614397849073384E-9,2.322145126854025E-6,16,23,0.0016940413935331812,9606,Homo sapiens,"Fn1;Tnc;Itgax;Lrp4;Vcan;Tgfb1;Itga2;Tnr;Lamb1;Col1a2;Tnxb;Col5a2;Col6a1;Col6a2;Lum;Col4a1;Col4a2;Bgn;Col6a6;Col6a3;Hapln1;Lama5;Sparc;Lama3;Lama4;Serpine1","","R-HSA-4086204;R-HSA-2327909;R-HSA-2681667;R-HSA-2396079;R-HSA-2327886;R-HSA-2424246;R-HSA-2467633;R-HSA-2396370;R-HSA-2424243;R-HSA-2396124;R-HSA-2424252;R-HSA-2681681;R-HSA-2466238;R-HSA-2318623;R-HSA-2465883;R-HSA-2466106"
R-HSA-216083,"Integrin cell surface interactions",25,86,0.006026206993202999,6.825138088029092E-8,3.23511545372579E-5,36,55,0.004050968549753259,9606,Homo sapiens,"Col18a1;Fn1;Tnc;Itgax;Itga5;Itgam;Pecam1;Itga2;Kdr;Cd44;Jam2;Col1a2;Col5a2;Col6a1;Col6a2;Lum;Col4a1;Col4a2;Col6a6;Col8a1;Col6a3;Vcam1;Itgb2;Fbn1;Icam2","","R-HSA-114563;R-HSA-2473511;R-HSA-210304;R-HSA-216064;R-HSA-216069;R-HSA-4539779;R-HSA-216068;R-HSA-199050;R-HSA-2467436;R-HSA-265423;R-HSA-4084912;R-HSA-4084910;R-HSA-265428;R-HSA-216082;R-HSA-202706;R-HSA-202704;R-HSA-265424;R-HSA-265426;R-HSA-4084903;R-HSA-2752115;R-HSA-349593;R-HSA-202718;R-HSA-198941;R-HSA-4085087;R-HSA-4088220;R-HSA-202727;R-HSA-4088281;R-HSA-216040;R-HSA-2327695;R-HSA-216045;R-HSA-216050;R-HSA-4085133;R-HSA-4086216;R-HSA-4088264;R-HSA-2426259;R-HSA-2470555"
R-HSA-1474228,"Degradation of the extracellular matrix",29,148,0.010370681802256324,1.577547545639213E-5,0.005616069262475598,57,105,0.007733667231347131,9606,Homo sapiens,"Col15a1;Col18a1;Eln;Fn1;Nid1;Ctss;Lamb1;Cd44;Col1a2;Capn9;Mmp12;Mmp14;Col5a2;Col6a1;Mmp15;Col6a2;Adamts4;Col4a1;Col25a1;Col4a2;Col6a6;Col8a1;Col6a3;Timp2;Tmprss6;Lama5;Lama3;Spock3;Fbn1","","R-HSA-1474196;R-HSA-3828025;R-HSA-1592349;R-HSA-3791295;R-HSA-2471842;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-1566981;R-HSA-3788075;R-HSA-1564164;R-HSA-1566979;R-HSA-8848658;R-HSA-1458433;R-HSA-2533950;R-HSA-1604741;R-HSA-1564169;R-HSA-2533944;R-HSA-2514823;R-HSA-2482180;R-HSA-3788061;R-HSA-2514831;R-HSA-1454781;R-HSA-1454757;R-HSA-1474210;R-HSA-2534160;R-HSA-2485148;R-HSA-1602466;R-HSA-2537499;R-HSA-2514790;R-HSA-2534240;R-HSA-1564112;R-HSA-2168038;R-HSA-1592278;R-HSA-2168046;R-HSA-1454791;R-HSA-2533874;R-HSA-2473584;R-HSA-1592270;R-HSA-2473596;R-HSA-1605825;R-HSA-2473594;R-HSA-2471621;R-HSA-1592314;R-HSA-1604732;R-HSA-1566962;R-HSA-1604350;R-HSA-1604722;R-HSA-2533965;R-HSA-3785684;R-HSA-3791319;R-HSA-1592310;R-HSA-1454822;R-HSA-2514772;R-HSA-2533970;R-HSA-1564142;R-HSA-2168923"
R-HSA-210745,"Regulation of gene expression in beta cells",12,35,0.0024525261018849415,3.622803518499307E-5,0.008935571304218404,8,12,8.838476835825292E-4,9606,Homo sapiens,"Pklr;Rfx6;Hnf4a;Pdx1;Slc2a2;Mafa","","R-HSA-211346;R-HSA-211350;R-HSA-211301;R-HSA-211461;R-HSA-211476;R-HSA-211466;R-HSA-211289;R-HSA-211272"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",17,67,0.004694835680751174,4.401759263161775E-5,0.008935571304218404,20,26,0.0019150033144288135,9606,Homo sapiens,"Col1a2;Col15a1;Col18a1;Col5a2;Col6a1;Col6a2;Col4a1;Col4a2;Col6a6;Col8a1;Col6a3;Ctss;Pxdn;Lama3;Loxl2;Pcolce","","R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-2213192;R-HSA-1474266;R-HSA-2396234;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-2243926;R-HSA-2213205;R-HSA-2213207;R-HSA-2395314;R-HSA-2395324;R-HSA-2243931;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-186712,"Regulation of beta-cell development",17,67,0.004694835680751174,4.401759263161775E-5,0.008935571304218404,17,26,0.0019150033144288135,9606,Homo sapiens,"Neurog3;Pklr;Rfx6;Notch1;Hnf4a;Slc2a2;Pdx1;Mafa;Nr5a2","","R-HSA-210913;R-HSA-210886;R-HSA-211301;R-HSA-211461;R-HSA-211466;R-HSA-210921;R-HSA-211272;R-HSA-210920;R-HSA-211346;R-HSA-1980047;R-HSA-210769;R-HSA-211350;R-HSA-210773;R-HSA-211476;R-HSA-210836;R-HSA-211289;R-HSA-210780"
R-HSA-8948216,"Collagen chain trimerization",13,44,0.0030831756709410693,7.76518546190541E-5,0.01382203012219163,9,28,0.0020623112616925685,9606,Homo sapiens,"Col1a2;Col15a1;Col28a1;Col18a1;Col5a2;Col6a1;Col6a2;Col4a1;Col25a1;Col4a2;Col6a6;Col8a1;Col6a3","","R-HSA-8944216;R-HSA-8944265;R-HSA-8944218;R-HSA-8944250;R-HSA-8944223;R-HSA-8944214;R-HSA-8944230;R-HSA-8944247;R-HSA-2002401"
R-HSA-1474290,"Collagen formation",21,104,0.007287506131315255,1.4892177087677538E-4,0.02352963979853051,52,77,0.005671355969654563,9606,Homo sapiens,"Col1a2;Col15a1;Col28a1;Col18a1;Col5a2;Col6a1;Col6a2;Col4a1;Col25a1;Col4a2;Adamts2;Col6a6;Col8a1;Col6a3;Ctss;Pxdn;Lama3;Colgalt2;Loxl2;Pcolce","","R-HSA-8948232;R-HSA-8944265;R-HSA-8948234;R-HSA-2002460;R-HSA-2395302;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-8948231;R-HSA-2002440;R-HSA-2395314;R-HSA-2395324;R-HSA-2395322;R-HSA-2250301;R-HSA-2022073;R-HSA-1981104;R-HSA-2559639;R-HSA-2002466;R-HSA-1474266;R-HSA-8944216;R-HSA-8944218;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-2395257;R-HSA-1981120;R-HSA-8944214;R-HSA-1650808;R-HSA-2002428;R-HSA-2022141;R-HSA-1614460;R-HSA-1614461;R-HSA-2395340;R-HSA-2213192;R-HSA-2089971;R-HSA-2396234;R-HSA-8944230;R-HSA-2213201;R-HSA-2213200;R-HSA-8944250;R-HSA-8948219;R-HSA-2395223;R-HSA-2243926;R-HSA-2213205;R-HSA-2152276;R-HSA-2213207;R-HSA-8948222;R-HSA-2243931;R-HSA-1981157;R-HSA-8944247;R-HSA-2002401"
R-HSA-3000171,"Non-integrin membrane-ECM interactions",15,61,0.004274402634713756,1.6863342512940527E-4,0.023945946368375548,11,22,0.0016203874199013037,9606,Homo sapiens,"Col1a2;Col5a2;Sdc3;Col4a1;Col4a2;Fn1;Tnc;Lama5;Tgfb1;Ttr;Lama3;Itga2;Lama4;Pdgfb;Lamb1","","R-HSA-2328129;R-HSA-2684507;R-HSA-2396337;R-HSA-2426355;R-HSA-2681694;R-HSA-2465890;R-HSA-2327738;R-HSA-2731075;R-HSA-2731074;R-HSA-2731141;R-HSA-2731078"
