Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-381119,"Unfolded Protein Response (UPR)",51,155,0.010861187022633311,1.1102230246251565E-16,1.6608936448392342E-13,43,94,0.006923473521396479,9606,Homo sapiens,"Serp1;Extl1;Dnajc3;Srprb;Asns;Cebpg;Hsp90b1;Cebpb;Kdelr3;Edem1;Herpud1;Hyou1;Preb;Eif2s2;Calr;Pdia6;Creb3;Wfs1;Ddit3;Parn;Chl1;Dnajb11;Dnajb9;Ern1;Hspa5;Cabp1;Syvn1;Atf6;Atf4;Atf3","","R-HSA-1791131;R-HSA-1791066;R-HSA-425923;R-HSA-381186;R-HSA-1791123;R-HSA-1791121;R-HSA-381135;R-HSA-1791056;R-HSA-381128;R-HSA-1791124;R-HSA-1791060;R-HSA-8874197;R-HSA-420818;R-HSA-1791118;R-HSA-1791116;R-HSA-8874192;R-HSA-1791180;R-HSA-1791107;R-HSA-1791169;R-HSA-381086;R-HSA-8874204;R-HSA-1791173;R-HSA-8874200;R-HSA-1791163;R-HSA-381158;R-HSA-381217;R-HSA-517731;R-HSA-1791167;R-HSA-8874849;R-HSA-381091;R-HSA-381026;R-HSA-1791155;R-HSA-1791095;R-HSA-1791157;R-HSA-8953336;R-HSA-1791083;R-HSA-381109;R-HSA-1791082;R-HSA-381111;R-HSA-1791150;R-HSA-1791084;R-HSA-1791075;R-HSA-381116"
R-HSA-9648895,"Response of EIF2AK1 (HRI) to heme deficiency",20,29,0.002032093055847523,8.293365993949919E-13,6.20343776347454E-10,18,20,0.0014730794726375489,9606,Homo sapiens,"Ppp1r15a;Ddit3;Asns;Cebpg;Trib3;Eif2s2;Chac1;Grb10;Cebpb;Atf4;Atf3","","R-HSA-9653745;R-HSA-9635927;R-HSA-9650710;R-HSA-9654774;R-HSA-9648888;R-HSA-9655071;R-HSA-381128;R-HSA-9653724;R-HSA-9650722;R-HSA-9654752;R-HSA-9653894;R-HSA-1791118;R-HSA-9653893;R-HSA-9635915;R-HSA-9635912;R-HSA-9654792;R-HSA-9653742;R-HSA-9655086"
R-HSA-381070,"IRE1alpha activates chaperones",30,101,0.007077289608296546,2.1913105774373776E-9,1.091272667563814E-6,19,53,0.0039036606024895042,9606,Homo sapiens,"Serp1;Extl1;Wfs1;Dnajc3;Srprb;Dnajb11;Chl1;Kdelr3;Dnajb9;Edem1;Ern1;Hyou1;Hspa5;Cabp1;Preb;Syvn1;Pdia6","","R-HSA-1791131;R-HSA-1791066;R-HSA-381217;R-HSA-1791167;R-HSA-425923;R-HSA-381091;R-HSA-1791123;R-HSA-1791155;R-HSA-1791157;R-HSA-1791124;R-HSA-1791060;R-HSA-8953336;R-HSA-1791083;R-HSA-381109;R-HSA-1791116;R-HSA-1791084;R-HSA-1791075;R-HSA-381116;R-HSA-1791169"
R-HSA-381038,"XBP1(S) activates chaperone genes",28,95,0.0066568565622591265,8.736078083160237E-9,3.2672932031019286E-6,14,47,0.0034617367606982396,9606,Homo sapiens,"Serp1;Extl1;Wfs1;Dnajc3;Srprb;Dnajb11;Chl1;Kdelr3;Dnajb9;Edem1;Hyou1;Cabp1;Preb;Syvn1;Pdia6","","R-HSA-1791131;R-HSA-1791066;R-HSA-1791167;R-HSA-1791123;R-HSA-1791155;R-HSA-1791157;R-HSA-1791124;R-HSA-1791060;R-HSA-8953336;R-HSA-1791083;R-HSA-1791116;R-HSA-1791084;R-HSA-1791075;R-HSA-1791169"
R-HSA-381042,"PERK regulates gene expression",16,42,0.00294303132226193,5.171855904650968E-7,1.4059078382577805E-4,10,11,8.101937099506518E-4,9606,Homo sapiens,"Herpud1;Ddit3;Hspa5;Asns;Cebpg;Parn;Eif2s2;Atf6;Cebpb;Atf4;Atf3","","R-HSA-381111;R-HSA-517731;R-HSA-1791118;R-HSA-1791180;R-HSA-1791107;R-HSA-381086;R-HSA-1791056;R-HSA-1791095;R-HSA-381128;R-HSA-1791173"
R-HSA-381183,"ATF6 (ATF6-alpha) activates chaperone genes",10,15,0.0010510826150935463,5.646216217902733E-7,1.4059078382577805E-4,5,5,3.682698681593872E-4,9606,Homo sapiens,"Hspa5;Ddit3;Hsp90b1;Calr;Atf6;Atf4","","R-HSA-1791163;R-HSA-1791082;R-HSA-1791150;R-HSA-1791107;R-HSA-1791121"
R-HSA-381033,"ATF6 (ATF6-alpha) activates chaperones",10,17,0.0011912269637726859,1.7109469208076433E-6,3.6443169413202803E-4,10,10,7.365397363187744E-4,9606,Homo sapiens,"Hspa5;Ddit3;Hsp90b1;Calr;Atf6;Atf4","","R-HSA-1791163;R-HSA-1791082;R-HSA-381158;R-HSA-420818;R-HSA-1791150;R-HSA-381026;R-HSA-381186;R-HSA-1791107;R-HSA-1791121;R-HSA-381135"
R-HSA-380994,"ATF4 activates genes in response to endoplasmic reticulum  stress",13,34,0.0023824539275453718,5.6588940905433205E-6,0.001058213194931601,7,7,5.155778154231421E-4,9606,Homo sapiens,"Herpud1;Ddit3;Asns;Cebpg;Parn;Atf6;Cebpb;Atf4;Atf3","","R-HSA-517731;R-HSA-1791118;R-HSA-1791180;R-HSA-1791107;R-HSA-1791056;R-HSA-1791095;R-HSA-1791173"
R-HSA-379716,"Cytosolic tRNA aminoacylation",15,50,0.003503608716978488,1.9213221788993984E-5,0.0031893948169730013,19,21,0.0015467334462694261,9606,Homo sapiens,"Yars;Wars;Aimp1;Vars;Sars;Tars;Eprs;Farsb;Nars;Lars;Ppa1;Rars;Hars;Gars;Iars","","R-HSA-379844;R-HSA-379974;R-HSA-380002;R-HSA-379980;R-HSA-379982;R-HSA-379977;R-HSA-380008;R-HSA-379848;R-HSA-380042;R-HSA-379893;R-HSA-379861;R-HSA-380048;R-HSA-71732;R-HSA-379996;R-HSA-379865;R-HSA-379993;R-HSA-379992;R-HSA-379867;R-HSA-379994"
R-HSA-9633012,"Response of EIF2AK4 (GCN2) to amino acid deficiency",23,115,0.008058300049050521,8.609434560413742E-5,0.012828057495016476,16,16,0.001178463578110039,9606,Homo sapiens,"Rps27;Ddit3;Nab1;Rps5;Cry1;Asns;Cebpg;Trib3;Cebpb;Rplp0;Rpl34;Eif2s2;Atf4;Atf3","","R-HSA-9633008;R-HSA-9635927;R-HSA-9635892;R-HSA-9644926;R-HSA-381128;R-HSA-9635804;R-HSA-9650722;R-HSA-9635936;R-HSA-1791118;R-HSA-9635915;R-HSA-9635912;R-HSA-9633742;R-HSA-9635918;R-HSA-1791173;R-HSA-9634669;R-HSA-9633005"
