Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1474244,"Extracellular matrix organization",67,329,0.02305374535771845,5.54922774398392E-12,7.280586800106903E-9,223,319,0.023495617588568902,9606,Homo sapiens,"Itgax;Adam19;Ctss;Itgam;Pxdn;Pecam1;Kdr;Ltbp2;Tnr;Ltbp4;Col3a1;Mmp12;Mmp14;Col1a1;Tnxb;Vwf;Col5a2;Adamts4;Col5a1;Bgn;Lama5;Itgb2;Ctrb1;Lama3;Itgb3;Lama4;Serpine1;Hspg2;Icam2;Col15a1;Ceacam1;Klk1;Sdc3;Fn1;Itga5;Nid2;Nid1;Lrp4;Tgfb1;Ttr;Itga2;Colgalt2;Loxl2;Pdgfb;Lamb1;Cd44;Jam2;Capn9;Col6a1;Col6a2;Mfap2;Col4a1;Col25a1;Col4a2;Col6a6;Col8a1;Col6a3;Col8a2;Timp2;Prss2;Hapln1;Vcam1;Sparc;Spock3;Fbn1","","R-HSA-8944265;R-HSA-2002460;R-HSA-2473511;R-HSA-1592349;R-HSA-216069;R-HSA-2545196;R-HSA-216072;R-HSA-216076;R-HSA-216082;R-HSA-1564164;R-HSA-2002440;R-HSA-2533950;R-HSA-1564169;R-HSA-2533944;R-HSA-2250301;R-HSA-2482180;R-HSA-1592371;R-HSA-8941234;R-HSA-2002466;R-HSA-2537499;R-HSA-2426471;R-HSA-2465890;R-HSA-2467436;R-HSA-2752125;R-HSA-2473584;R-HSA-1592398;R-HSA-2473596;R-HSA-2752115;R-HSA-2731123;R-HSA-1592387;R-HSA-2395257;R-HSA-1650808;R-HSA-2328129;R-HSA-1614460;R-HSA-1614461;R-HSA-1604722;R-HSA-2731075;R-HSA-2731074;R-HSA-2533965;R-HSA-2396234;R-HSA-2731078;R-HSA-2328145;R-HSA-2395223;R-HSA-2684507;R-HSA-2533970;R-HSA-2426450;R-HSA-2168923;R-HSA-2465883;R-HSA-8948232;R-HSA-8948234;R-HSA-2395302;R-HSA-1474196;R-HSA-1474197;R-HSA-2426530;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8948230;R-HSA-4084912;R-HSA-8948231;R-HSA-4084910;R-HSA-2396337;R-HSA-2395314;R-HSA-2327733;R-HSA-2395324;R-HSA-4084903;R-HSA-2327738;R-HSA-2395320;R-HSA-1604741;R-HSA-2395322;R-HSA-2161282;R-HSA-2022073;R-HSA-1454781;R-HSA-2327695;R-HSA-2731141;R-HSA-1981104;R-HSA-2559639;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2470555;R-HSA-2395364;R-HSA-2168038;R-HSA-265423;R-HSA-2396399;R-HSA-1474266;R-HSA-2168046;R-HSA-2396395;R-HSA-265428;R-HSA-8944216;R-HSA-1454791;R-HSA-8944218;R-HSA-265424;R-HSA-265425;R-HSA-1981128;R-HSA-265426;R-HSA-8944223;R-HSA-265427;R-HSA-2327803;R-HSA-1605825;R-HSA-1981120;R-HSA-8944214;R-HSA-2327746;R-HSA-2022141;R-HSA-2395328;R-HSA-3787997;R-HSA-1566962;R-HSA-1604350;R-HSA-3907292;R-HSA-2537665;R-HSA-2395340;R-HSA-1454822;R-HSA-8944250;R-HSA-2396370;R-HSA-8944240;R-HSA-1981157;R-HSA-8944247;R-HSA-3828025;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-2426676;R-HSA-1566981;R-HSA-3788075;R-HSA-1566979;R-HSA-2467633;R-HSA-1458433;R-HSA-198941;R-HSA-2466106;R-HSA-3788061;R-HSA-4084507;R-HSA-4084505;R-HSA-4084501;R-HSA-2534160;R-HSA-2318623;R-HSA-2514790;R-HSA-2327909;R-HSA-2534240;R-HSA-2485111;R-HSA-1980233;R-HSA-2396029;R-HSA-4085087;R-HSA-4085083;R-HSA-2213192;R-HSA-2681667;R-HSA-2327886;R-HSA-2213201;R-HSA-2213200;R-HSA-2514772;R-HSA-8948219;R-HSA-2243926;R-HSA-2213205;R-HSA-2152276;R-HSA-2213207;R-HSA-8948222;R-HSA-2681694;R-HSA-2243931;R-HSA-2681681;R-HSA-114560;R-HSA-114563;R-HSA-4086204;R-HSA-1602458;R-HSA-210304;R-HSA-3791295;R-HSA-4086200;R-HSA-2471842;R-HSA-199050;R-HSA-2396079;R-HSA-2424246;R-HSA-8848658;R-HSA-2424243;R-HSA-2396083;R-HSA-2424252;R-HSA-2466238;R-HSA-349593;R-HSA-3814820;R-HSA-2514823;R-HSA-4088220;R-HSA-4088218;R-HSA-349603;R-HSA-2514831;R-HSA-4085133;R-HSA-2426259;R-HSA-2485148;R-HSA-1602466;R-HSA-349626;R-HSA-2328033;R-HSA-2328037;R-HSA-4539779;R-HSA-1564112;R-HSA-2129385;R-HSA-202706;R-HSA-202704;R-HSA-2328048;R-HSA-2533874;R-HSA-1592270;R-HSA-2426355;R-HSA-202718;R-HSA-202723;R-HSA-1592314;R-HSA-2002428;R-HSA-202727;R-HSA-1592316;R-HSA-4088281;R-HSA-2129353;R-HSA-216040;R-HSA-2089971;R-HSA-2129357;R-HSA-3785684;R-HSA-216045;R-HSA-1592310;R-HSA-3791319;R-HSA-216051;R-HSA-216050;R-HSA-2129362;R-HSA-216048;R-HSA-2396113;R-HSA-4086216;R-HSA-4088264;R-HSA-2396124;R-HSA-1564142;R-HSA-216058;R-HSA-2129375"
R-HSA-3000178,"ECM proteoglycans",27,79,0.005535701772826011,5.193493413102601E-10,3.1478664364037456E-7,19,23,0.0016940413935331812,9606,Homo sapiens,"Fn1;Itgax;Lrp4;Tgfb1;Itga2;Tnr;Lamb1;Col3a1;Col1a1;Tnxb;Col5a2;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Bgn;Col6a6;Col6a3;Hapln1;Lama5;Sparc;Lama3;Itgb3;Lama4;Serpine1;Hspg2","","R-HSA-4086204;R-HSA-2426471;R-HSA-2327909;R-HSA-4086200;R-HSA-2681667;R-HSA-2396079;R-HSA-2327886;R-HSA-2396395;R-HSA-2424246;R-HSA-2467633;R-HSA-2396370;R-HSA-2424243;R-HSA-2424252;R-HSA-2396124;R-HSA-2681681;R-HSA-2466238;R-HSA-2318623;R-HSA-2465883;R-HSA-2466106"
R-HSA-216083,"Integrin cell surface interactions",28,86,0.006026206993202999,7.203355689711088E-10,3.1478664364037456E-7,43,55,0.004050968549753259,9606,Homo sapiens,"Fn1;Itgax;Itga5;Itgam;Pecam1;Itga2;Kdr;Cd44;Jam2;Col3a1;Col1a1;Col5a2;Col6a1;Vwf;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col8a1;Col6a3;Col8a2;Vcam1;Itgb2;Itgb3;Hspg2;Fbn1;Icam2","","R-HSA-114560;R-HSA-114563;R-HSA-2473511;R-HSA-210304;R-HSA-216069;R-HSA-4539779;R-HSA-2467436;R-HSA-199050;R-HSA-265423;R-HSA-216072;R-HSA-4084912;R-HSA-216076;R-HSA-4084910;R-HSA-265428;R-HSA-216082;R-HSA-202706;R-HSA-202704;R-HSA-265424;R-HSA-2752125;R-HSA-265425;R-HSA-265426;R-HSA-265427;R-HSA-4084903;R-HSA-2752115;R-HSA-349593;R-HSA-202718;R-HSA-198941;R-HSA-4085087;R-HSA-4088220;R-HSA-202727;R-HSA-4088218;R-HSA-4085083;R-HSA-349603;R-HSA-4088281;R-HSA-216040;R-HSA-2327695;R-HSA-216045;R-HSA-216050;R-HSA-4085133;R-HSA-4086216;R-HSA-4088264;R-HSA-2426259;R-HSA-2470555"
R-HSA-1474228,"Degradation of the extracellular matrix",33,148,0.010370681802256324,1.9016353547396392E-7,6.237363963546017E-5,61,105,0.007733667231347131,9606,Homo sapiens,"Col15a1;Klk1;Fn1;Nid1;Ctss;Lamb1;Cd44;Capn9;Col3a1;Mmp12;Mmp14;Col1a1;Col5a2;Col6a1;Col6a2;Adamts4;Col4a1;Col25a1;Col4a2;Col5a1;Col6a6;Col8a1;Col6a3;Col8a2;Timp2;Prss2;Lama5;Ctrb1;Lama3;Spock3;Hspg2;Fbn1","","R-HSA-1602458;R-HSA-1474196;R-HSA-1474197;R-HSA-3828025;R-HSA-1592349;R-HSA-3791295;R-HSA-2471842;R-HSA-1604368;R-HSA-3791155;R-HSA-1604360;R-HSA-1566981;R-HSA-3788075;R-HSA-1564164;R-HSA-1566979;R-HSA-8848658;R-HSA-1458433;R-HSA-2533950;R-HSA-1604741;R-HSA-3814820;R-HSA-1564169;R-HSA-2533944;R-HSA-2514823;R-HSA-2482180;R-HSA-3788061;R-HSA-2514831;R-HSA-1454781;R-HSA-1592371;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2534160;R-HSA-2485148;R-HSA-1602466;R-HSA-2537499;R-HSA-2514790;R-HSA-2534240;R-HSA-1564112;R-HSA-2168038;R-HSA-2168046;R-HSA-1454791;R-HSA-2485111;R-HSA-2533874;R-HSA-2473584;R-HSA-1592270;R-HSA-1592398;R-HSA-2473596;R-HSA-1605825;R-HSA-1592314;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1604722;R-HSA-2533965;R-HSA-3785684;R-HSA-1592310;R-HSA-3791319;R-HSA-1454822;R-HSA-2514772;R-HSA-2533970;R-HSA-1564142;R-HSA-2168923"
R-HSA-3000171,"Non-integrin membrane-ECM interactions",18,61,0.004274402634713756,2.9078628159817654E-6,7.618600577872225E-4,13,22,0.0016203874199013037,9606,Homo sapiens,"Col3a1;Col1a1;Col5a2;Sdc3;Col4a1;Col4a2;Col5a1;Fn1;Lama5;Tgfb1;Ttr;Lama3;Itgb3;Itga2;Lama4;Pdgfb;Lamb1;Hspg2","","R-HSA-2328129;R-HSA-2465890;R-HSA-2731075;R-HSA-2731074;R-HSA-2731141;R-HSA-2731078;R-HSA-2684507;R-HSA-2396337;R-HSA-2396113;R-HSA-2426355;R-HSA-2681694;R-HSA-2327738;R-HSA-2731123"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",18,67,0.004694835680751174,1.0190590866598903E-5,0.002221548808918561,20,26,0.0019150033144288135,9606,Homo sapiens,"Col15a1;Col3a1;Col1a1;Col5a2;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col8a1;Col6a3;Col8a2;Ctss;Pxdn;Lama3;Loxl2","","R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-2213192;R-HSA-1474266;R-HSA-2396234;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-2243926;R-HSA-2213205;R-HSA-2213207;R-HSA-2395314;R-HSA-2395324;R-HSA-2243931;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-8948216,"Collagen chain trimerization",14,44,0.0030831756709410693,1.5805551302539023E-5,0.0029556380935747972,8,28,0.0020623112616925685,9606,Homo sapiens,"Col15a1;Col3a1;Col1a1;Col5a2;Col6a1;Col6a2;Col4a1;Col25a1;Col4a2;Col5a1;Col6a6;Col8a1;Col6a3;Col8a2","","R-HSA-8944216;R-HSA-8944265;R-HSA-8944218;R-HSA-8944250;R-HSA-8944223;R-HSA-8944240;R-HSA-8944214;R-HSA-8944247"
R-HSA-5576891,"Cardiac conduction",27,138,0.009669960058860626,2.352863283083817E-5,0.00385869578425746,20,27,0.0019886572880606908,9606,Homo sapiens,"Fkbp1b;Fgf14;Fxyd3;Dmpk;Atp1a2;Kcnd2;Cacng4;Scn3a;Scn3b;Kcnj4;Scn1b;Camk2b;Kcnip3;Kcnip2;Slc8a2;Atp2b2;Atp1b2;Atp2b4;Kcne3;Scn2b;Kcnj2;Kcnk16;Erg;Itpr3;Cacna2d2;Itpr2","","R-HSA-5577237;R-HSA-427910;R-HSA-418309;R-HSA-5577234;R-HSA-2855020;R-HSA-5577213;R-HSA-5576895;R-HSA-5617182;R-HSA-5578910;R-HSA-5578777;R-HSA-139854;R-HSA-5617179;R-HSA-5617178;R-HSA-5577050;R-HSA-936897;R-HSA-169683;R-HSA-9684068;R-HSA-5226904;R-HSA-425661;R-HSA-1296046"
R-HSA-1442490,"Collagen degradation",17,69,0.004834980029430313,5.121499886218128E-5,0.007426174835016286,20,34,0.002504235103483833,9606,Homo sapiens,"Col15a1;Col3a1;Mmp12;Mmp14;Col1a1;Col5a2;Col6a1;Col6a2;Col4a1;Col25a1;Col4a2;Col5a1;Col6a6;Col8a1;Col6a3;Col8a2;Prss2","","R-HSA-2482180;R-HSA-1474196;R-HSA-1474197;R-HSA-1564112;R-HSA-2168038;R-HSA-2471842;R-HSA-2168046;R-HSA-1454822;R-HSA-2485111;R-HSA-1454757;R-HSA-1564164;R-HSA-1474213;R-HSA-1474210;R-HSA-2473584;R-HSA-1458433;R-HSA-1564142;R-HSA-2473596;R-HSA-2168923;R-HSA-2537499;R-HSA-1564169"
R-HSA-397014,"Muscle contraction",35,213,0.014925373134328358,5.7097900890701325E-5,0.007479825016681874,30,42,0.0030934668925388523,9606,Homo sapiens,"Fkbp1b;Fgf14;Fxyd3;Dmpk;Atp1a2;Kcnd2;Cacng4;Scn3a;Scn3b;Kcnj4;Scn1b;Tmod1;Camk2b;Kcnip3;Kcnip2;Slc8a2;Acta2;Atp2b2;Atp1b2;Tpm2;Atp2b4;Dysf;Kcne3;Scn2b;Kcnj2;Kcnk16;Vim;Erg;Anxa2;Itpr3;Cacna2d2;Itpr2;Sorbs3","","R-HSA-390597;R-HSA-5577237;R-HSA-427910;R-HSA-5263633;R-HSA-445700;R-HSA-418309;R-HSA-390598;R-HSA-390593;R-HSA-445699;R-HSA-390595;R-HSA-5577234;R-HSA-2855020;R-HSA-5617182;R-HSA-5578910;R-HSA-5578777;R-HSA-139854;R-HSA-5617179;R-HSA-445704;R-HSA-5617178;R-HSA-445705;R-HSA-5577050;R-HSA-936897;R-HSA-169683;R-HSA-5226904;R-HSA-5263628;R-HSA-5577213;R-HSA-5576895;R-HSA-9684068;R-HSA-425661;R-HSA-1296046"
