Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-381119,"Unfolded Protein Response (UPR)",52,155,0.010861187022633311,1.1102230246251565E-16,1.59539048638635E-13,43,94,0.006923473521396479,9606,Homo sapiens,"Serp1;Extl1;Dnajc3;Srprb;Asns;Cebpg;Hsp90b1;Cebpb;Tspyl2;Edem1;Herpud1;Fkbp14;Hyou1;Preb;Eif2s2;Calr;Wipi1;Creb3;Wfs1;Ddit3;Dis3;Parn;Dnajb11;Dnajb9;Ern1;Hspa5;Syvn1;Atf6;Atf4;Atf3","","R-HSA-1791066;R-HSA-425923;R-HSA-381186;R-HSA-1791121;R-HSA-381135;R-HSA-1791057;R-HSA-1791056;R-HSA-381128;R-HSA-1791124;R-HSA-1791060;R-HSA-1791114;R-HSA-8874197;R-HSA-420818;R-HSA-1791118;R-HSA-1791180;R-HSA-8874192;R-HSA-1791107;R-HSA-1791169;R-HSA-381086;R-HSA-8874204;R-HSA-1791173;R-HSA-1791172;R-HSA-8874200;R-HSA-1791163;R-HSA-381158;R-HSA-381217;R-HSA-517731;R-HSA-1791167;R-HSA-381091;R-HSA-8874849;R-HSA-381026;R-HSA-1791155;R-HSA-1791095;R-HSA-1791157;R-HSA-8953336;R-HSA-1791083;R-HSA-381109;R-HSA-1791082;R-HSA-381111;R-HSA-1791150;R-HSA-1791084;R-HSA-1791075;R-HSA-381116"
R-HSA-9648895,"Response of EIF2AK1 (HRI) to heme deficiency",20,29,0.002032093055847523,7.787104294720848E-13,5.591140883609569E-10,18,20,0.0014730794726375489,9606,Homo sapiens,"Ppp1r15a;Ddit3;Asns;Cebpg;Trib3;Eif2s2;Chac1;Grb10;Cebpb;Atf4;Atf3","","R-HSA-9653745;R-HSA-9635927;R-HSA-9650710;R-HSA-9654774;R-HSA-9648888;R-HSA-9655071;R-HSA-381128;R-HSA-9653724;R-HSA-9650722;R-HSA-9654752;R-HSA-9653894;R-HSA-1791118;R-HSA-9653893;R-HSA-9635915;R-HSA-9635912;R-HSA-9654792;R-HSA-9653742;R-HSA-9655086"
R-HSA-381070,"IRE1alpha activates chaperones",30,101,0.007077289608296546,2.0242046927521073E-9,9.695940478282594E-7,19,53,0.0039036606024895042,9606,Homo sapiens,"Serp1;Extl1;Wfs1;Dnajc3;Srprb;Dnajb11;Tspyl2;Dnajb9;Edem1;Ern1;Fkbp14;Hyou1;Hspa5;Preb;Syvn1;Wipi1","","R-HSA-1791066;R-HSA-381217;R-HSA-1791167;R-HSA-425923;R-HSA-381091;R-HSA-1791155;R-HSA-1791057;R-HSA-1791157;R-HSA-1791124;R-HSA-1791060;R-HSA-8953336;R-HSA-1791083;R-HSA-381109;R-HSA-1791114;R-HSA-1791084;R-HSA-1791075;R-HSA-381116;R-HSA-1791169;R-HSA-1791172"
R-HSA-381038,"XBP1(S) activates chaperone genes",28,95,0.0066568565622591265,8.114313776452775E-9,2.9130386457465463E-6,14,47,0.0034617367606982396,9606,Homo sapiens,"Serp1;Extl1;Wfs1;Dnajc3;Srprb;Dnajb11;Tspyl2;Dnajb9;Edem1;Fkbp14;Hyou1;Preb;Syvn1;Wipi1","","R-HSA-1791066;R-HSA-1791167;R-HSA-1791155;R-HSA-1791057;R-HSA-1791157;R-HSA-1791124;R-HSA-1791060;R-HSA-8953336;R-HSA-1791083;R-HSA-1791114;R-HSA-1791084;R-HSA-1791075;R-HSA-1791169;R-HSA-1791172"
R-HSA-381042,"PERK regulates gene expression",17,42,0.00294303132226193,9.511085818925125E-8,2.7296816300315108E-5,10,11,8.101937099506518E-4,9606,Homo sapiens,"Herpud1;Ddit3;Dis3;Hspa5;Asns;Cebpg;Parn;Eif2s2;Atf6;Cebpb;Atf4;Atf3","","R-HSA-381111;R-HSA-517731;R-HSA-1791118;R-HSA-1791180;R-HSA-1791107;R-HSA-381086;R-HSA-1791056;R-HSA-1791095;R-HSA-381128;R-HSA-1791173"
R-HSA-379716,"Cytosolic tRNA aminoacylation",18,50,0.003503608716978488,2.2108390484998353E-7,5.283905325914606E-5,20,21,0.0015467334462694261,9606,Homo sapiens,"Cars;Yars;Aimp2;Wars;Aimp1;Vars;Sars;Tars;Eprs;Farsb;Nars;Mars;Lars;Rars;Hars;Gars;Iars;Aars","","R-HSA-379844;R-HSA-379974;R-HSA-380002;R-HSA-379980;R-HSA-379887;R-HSA-379982;R-HSA-379977;R-HSA-380008;R-HSA-379848;R-HSA-380042;R-HSA-379893;R-HSA-379861;R-HSA-380048;R-HSA-379996;R-HSA-379865;R-HSA-379993;R-HSA-379864;R-HSA-379992;R-HSA-379867;R-HSA-379994"
R-HSA-381183,"ATF6 (ATF6-alpha) activates chaperone genes",10,15,0.0010510826150935463,5.471628689024399E-7,1.1216838812500018E-4,5,5,3.682698681593872E-4,9606,Homo sapiens,"Hspa5;Ddit3;Hsp90b1;Calr;Atf6;Atf4","","R-HSA-1791163;R-HSA-1791082;R-HSA-1791150;R-HSA-1791107;R-HSA-1791121"
R-HSA-380994,"ATF4 activates genes in response to endoplasmic reticulum  stress",14,34,0.0023824539275453718,1.0315643578229228E-6,1.8465002005030318E-4,7,7,5.155778154231421E-4,9606,Homo sapiens,"Herpud1;Ddit3;Dis3;Asns;Cebpg;Parn;Atf6;Cebpb;Atf4;Atf3","","R-HSA-517731;R-HSA-1791118;R-HSA-1791180;R-HSA-1791107;R-HSA-1791056;R-HSA-1791095;R-HSA-1791173"
R-HSA-381033,"ATF6 (ATF6-alpha) activates chaperones",10,17,0.0011912269637726859,1.6588700954001112E-6,2.637603451686177E-4,10,10,7.365397363187744E-4,9606,Homo sapiens,"Hspa5;Ddit3;Hsp90b1;Calr;Atf6;Atf4","","R-HSA-1791163;R-HSA-1791082;R-HSA-381158;R-HSA-420818;R-HSA-1791150;R-HSA-381026;R-HSA-381186;R-HSA-1791107;R-HSA-1791121;R-HSA-381135"
R-HSA-379724,"tRNA Aminoacylation",18,68,0.0047649078550907435,1.4898333516977225E-5,0.002130461692927743,21,42,0.0030934668925388523,9606,Homo sapiens,"Cars;Yars;Aimp2;Wars;Aimp1;Vars;Sars;Tars;Eprs;Farsb;Nars;Mars;Lars;Rars;Hars;Gars;Iars;Aars","","R-HSA-379844;R-HSA-379974;R-HSA-380002;R-HSA-379980;R-HSA-379887;R-HSA-379982;R-HSA-379977;R-HSA-380008;R-HSA-379848;R-HSA-380042;R-HSA-379893;R-HSA-379861;R-HSA-380048;R-HSA-380240;R-HSA-379996;R-HSA-379865;R-HSA-379993;R-HSA-379864;R-HSA-379992;R-HSA-379867;R-HSA-379994"
