Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,Pathway name short
R-HSA-381119,Unfolded Protein Response (UPR),40,155,0.01087872,1.98E-10,9.702595258,2.37E-07,33,94,0.007637309,9606,Homo sapiens,Mydgf;Wfs1;Exosc4;Srprb;Hsp90b1;Dnajb11;Cebpb;Tspyl2;Lmna;Fkbp14;Zbtb17;Atf6b;Hyou1;Hspa5;Eif2s3x;Preb;Syvn1;Calr;Arfgap1;Pdia6;Tln1;Atf4,,R-HSA-1791131;R-HSA-1791066;R-HSA-1791128;R-HSA-1791064;R-HSA-1791186;R-HSA-1791121;R-HSA-381135;R-HSA-1791057;R-HSA-1791056;R-HSA-381128;R-HSA-1791060;R-HSA-1791114;R-HSA-420818;R-HSA-1791118;R-HSA-1791180;R-HSA-1791107;R-HSA-1791169;R-HSA-381086;R-HSA-1791173;R-HSA-1791163;R-HSA-381158;R-HSA-381217;R-HSA-517731;R-HSA-1791102;R-HSA-381026;R-HSA-1791095;R-HSA-1791083;R-HSA-1791082;R-HSA-381111;R-HSA-1791150;R-HSA-1791084;R-HSA-1791075;R-HSA-1791137,Unfolded Protein Response (UPR)
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,34,119,0.008352049,3.61E-10,9.442148599,2.37E-07,5,5,4.06E-04,9606,Homo sapiens,Rps16;Srprb;Rpn1;Rpl13;Rpl38;Rps13;Sec61a1;Rpl12;Rpl34;Rps2;Rpl10a;Ddost;Rps26;Rps28;Sec61g;Rps29;Ssr4;Rps5;Ssr2;Rpl27a;Rplp2;Sec61b;Rpl27;Rps21;Srp54a;Rpl41;Rplp0;Rplp1;Rpl13a;Rpl36al;Srp19,,R-HSA-1799326;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332,SRP-dep. Cotranslational\nprotein targeting to membrane
R-HSA-381070,IRE1alpha activates chaperones,29,101,0.007088714,6.27E-09,8.202954106,2.15E-06,15,53,0.004306142,9606,Homo sapiens,Mydgf;Wfs1;Srprb;Dnajb11;Tspyl2;Lmna;Fkbp14;Zbtb17;Hyou1;Hspa5;Preb;Syvn1;Arfgap1;Pdia6;Tln1,,R-HSA-1791131;R-HSA-1791066;R-HSA-1791128;R-HSA-1791064;R-HSA-381217;R-HSA-1791102;R-HSA-1791186;R-HSA-1791057;R-HSA-1791060;R-HSA-1791083;R-HSA-1791114;R-HSA-1791084;R-HSA-1791075;R-HSA-1791169;R-HSA-1791137,IRE1alpha activates chaperones
R-HSA-381038,XBP1(S) activates chaperone genes,28,95,0.006667602,6.59E-09,8.181332756,2.15E-06,14,47,0.003818655,9606,Homo sapiens,Mydgf;Wfs1;Srprb;Dnajb11;Tspyl2;Lmna;Fkbp14;Zbtb17;Hyou1;Preb;Syvn1;Arfgap1;Pdia6;Tln1,,R-HSA-1791131;R-HSA-1791066;R-HSA-1791128;R-HSA-1791064;R-HSA-1791102;R-HSA-1791186;R-HSA-1791057;R-HSA-1791060;R-HSA-1791083;R-HSA-1791114;R-HSA-1791084;R-HSA-1791075;R-HSA-1791169;R-HSA-1791137,XBP1(S) activates chaperone genes
R-HSA-422475,Axon guidance,88,584,0.040988209,1.24E-08,7.907056308,3.25E-06,162,297,0.024130647,9606,Homo sapiens,Tiam1;Nell2;Cacna1h;Rps16;Srgap3;Tuba1b;Tuba1a;Tuba1c;Tceb2;Irs2;Grb10;Rpl38;Rps13;Rgma;Trpc7;Sema6a;Cltb;Rpl34;Kcnq2;Gfra1;Gfra3;Cacna1i;Psmb5;Ap2m1;Psmb4;Psmb6;Gap43;Tubb2b;Tubb2a;Col5a3;Rps5;Col5a1;Rplp2;Col9a2;Plxna3;Rpl27;Ank1;Dscam;Rplp0;Zswim8;Rplp1;Rpl13a;Tuba4a;Tln1;Pfn1;Rpn1;Rpl13;Ntn4;Myh14;Ntn1;Ephb2;Scn3b;Myh10;Gdnf;Gpc1;Rpl12;Pak6;Rps2;Grin1;Rpl10a;Cap2;Pak4;Efnb1;Cd24a;Rps26;Efnb3;Tubb5;Dpysl5;Rps28;Rps29;Tubb3;Tubb1;Ablim3;Rpl27a;Col6a3;Rps21;Fgfr1;Map2k2;Rpl41;Limk1;Unc5c;Tubb4b;Tubb4a;Rpl36al;Sema3e;St8sia2,,R-HSA-525833;R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-419087;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928617;R-HSA-593690;R-HSA-3928616;R-HSA-3928623;R-HSA-451347;R-HSA-451345;R-HSA-3928610;R-HSA-3928608;R-HSA-3928615;R-HSA-593685;R-HSA-3928614;R-HSA-3928612;R-HSA-451366;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-418850;R-HSA-3928604;R-HSA-109862;R-HSA-3928595;R-HSA-392749;R-HSA-3928594;R-HSA-418863;R-HSA-392748;R-HSA-392751;R-HSA-3928592;R-HSA-418858;R-HSA-3928598;R-HSA-418859;R-HSA-3928597;R-HSA-418856;R-HSA-422454;R-HSA-447030;R-HSA-555065;R-HSA-418868;R-HSA-3928584;R-HSA-3928591;R-HSA-418866;R-HSA-418865;R-HSA-3928588;R-HSA-399934;R-HSA-3928578;R-HSA-399935;R-HSA-419644;R-HSA-3928577;R-HSA-376126;R-HSA-399933;R-HSA-419645;R-HSA-3928583;R-HSA-447034;R-HSA-418874;R-HSA-399930;R-HSA-399931;R-HSA-418872;R-HSA-376123;R-HSA-399928;R-HSA-3928580;R-HSA-622390;R-HSA-376122;R-HSA-399942;R-HSA-8854981;R-HSA-399941;R-HSA-8855747;R-HSA-399939;R-HSA-399936;R-HSA-399950;R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-8855508;R-HSA-376145;R-HSA-428883;R-HSA-399952;R-HSA-8933328;R-HSA-8853734;R-HSA-375149;R-HSA-375151;R-HSA-3928657;R-HSA-3928656;R-HSA-375144;R-HSA-8853737;R-HSA-3928654;R-HSA-8853745;R-HSA-443774;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-419197;R-HSA-8853755;R-HSA-8853753;R-HSA-3928645;R-HSA-3928644;R-HSA-8853762;R-HSA-9010190;R-HSA-8853774;R-HSA-445071;R-HSA-8855564;R-HSA-374665;R-HSA-374667;R-HSA-9011224;R-HSA-445079;R-HSA-445076;R-HSA-445077;R-HSA-374675;R-HSA-8853789;R-HSA-9011241;R-HSA-374692;R-HSA-374689;R-HSA-4093339;R-HSA-445091;R-HSA-8853793;R-HSA-4093336;R-HSA-8853792;R-HSA-374701;R-HSA-4093332;R-HSA-4093330;R-HSA-4093331;R-HSA-416683;R-HSA-374696;R-HSA-8853800;R-HSA-4093329;R-HSA-443817;R-HSA-4093327;R-HSA-8871226;R-HSA-8855617;R-HSA-373711;R-HSA-373707;R-HSA-9011289;R-HSA-373716;R-HSA-373713;R-HSA-416723;R-HSA-9014610;R-HSA-373720;R-HSA-419033;R-HSA-428518;R-HSA-373729;R-HSA-437230;R-HSA-8855915;R-HSA-9011300;R-HSA-373739;R-HSA-428534;R-HSA-373751;R-HSA-428533;R-HSA-8854899;R-HSA-437234;R-HSA-428531;R-HSA-9014652;R-HSA-8854897;R-HSA-9011313;R-HSA-8854908;R-HSA-8854905,Axon guidance
R-HSA-2426168,Activation of gene expression by SREBF (SREBP),22,70,0.00491297,9.07E-08,7.042619703,1.98E-05,42,42,0.003412415,9606,Homo sapiens,Srebf2;Fdps;Sqle;Tm7sf2;Mvk;Fasn;Mvd;Scd1;Elovl6;Lss;Cyp51;Srebf1,,R-HSA-1655833;R-HSA-2426149;R-HSA-2426148;R-HSA-1655832;R-HSA-2426151;R-HSA-1655835;R-HSA-2426150;R-HSA-1655837;R-HSA-2426144;R-HSA-1655836;R-HSA-2426147;R-HSA-1655839;R-HSA-2426146;R-HSA-2426157;R-HSA-1655824;R-HSA-2426156;R-HSA-1655827;R-HSA-2426158;R-HSA-1655826;R-HSA-2426153;R-HSA-1655828;R-HSA-2426152;R-HSA-2426155;R-HSA-2426154;R-HSA-1655830;R-HSA-2426164;R-HSA-6800052;R-HSA-2426161;R-HSA-2426160;R-HSA-2426163;R-HSA-1655823;R-HSA-2426162;R-HSA-1655849;R-HSA-2065966;R-HSA-1655848;R-HSA-1655850;R-HSA-1655852;R-HSA-1655843;R-HSA-1655845;R-HSA-1655844;R-HSA-1655847;R-HSA-1655846,Activation of gene expression by SREBF
R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),23,86,0.006035935,7.43E-07,6.128726585,1.26E-04,52,52,0.004224894,9606,Homo sapiens,Fdps;Mvk;Lss;Sec24d;Srebf2;Sqle;Tm7sf2;Fasn;Mvd;Scd1;Elovl6;Cyp51;Srebf1,,R-HSA-1655833;R-HSA-2426149;R-HSA-2426148;R-HSA-1655832;R-HSA-2426151;R-HSA-1655835;R-HSA-1655834;R-HSA-2426150;R-HSA-1655837;R-HSA-2426144;R-HSA-1655836;R-HSA-2426147;R-HSA-1655839;R-HSA-2426146;R-HSA-1655825;R-HSA-2426157;R-HSA-1655824;R-HSA-2426156;R-HSA-1655827;R-HSA-2426158;R-HSA-1655826;R-HSA-2426153;R-HSA-1655828;R-HSA-2426152;R-HSA-1655831;R-HSA-2426155;R-HSA-2426154;R-HSA-1655830;R-HSA-2065550;R-HSA-2426164;R-HSA-2065549;R-HSA-2426161;R-HSA-2426160;R-HSA-2426163;R-HSA-1655823;R-HSA-2426162;R-HSA-2065539;R-HSA-1655849;R-HSA-2065966;R-HSA-1655848;R-HSA-1655851;R-HSA-1655850;R-HSA-1655852;R-HSA-1655843;R-HSA-1655842;R-HSA-1655845;R-HSA-1655844;R-HSA-1655847;R-HSA-1655846;R-HSA-6800052;R-HSA-2317531;R-HSA-2317530,Regulation of cholesterol\nbiosynthesis by SREBP
R-HSA-72766,Translation,55,339,0.023792813,8.31E-07,6.080340218,1.26E-04,63,99,0.008043549,9606,Homo sapiens,Eef1a2;Tsfm;Rps16;Mrpl57;Srprb;Rpl38;Farsa;Rps13;Aars2;Sec61a1;Rpl34;Ddost;Ssr4;Rps5;Ssr2;Rplp2;Tars;Rpl27;Srp54a;Mrps28;Mrps18b;Rplp0;Ppa1;Rplp1;Rpl13a;Hars;Mrpl52;Rpn1;Rpl13;Eif4ebp1;Mrps12;Eif3g;Rpl12;Eif2b4;Rps2;Sars2;Rpl10a;Rps26;Rps28;Vars;Rps29;Sec61g;Rpl27a;Sec61b;Rps21;Eprs;Nars;Rpl41;Eif2s3x;Rpl36al;Srp19,,R-HSA-1799326;R-HSA-5368279;R-HSA-156808;R-HSA-380042;R-HSA-72722;R-HSA-380177;R-HSA-156823;R-HSA-156826;R-HSA-157849;R-HSA-156832;R-HSA-72619;R-HSA-72621;R-HSA-5419261;R-HSA-72622;R-HSA-71732;R-HSA-1799330;R-HSA-1799329;R-HSA-1799335;R-HSA-1799332;R-HSA-5389842;R-HSA-379844;R-HSA-5419281;R-HSA-379974;R-HSA-5389848;R-HSA-380239;R-HSA-5389849;R-HSA-379982;R-HSA-379848;R-HSA-379861;R-HSA-5419264;R-HSA-5419271;R-HSA-72663;R-HSA-5419268;R-HSA-5419269;R-HSA-379996;R-HSA-5419273;R-HSA-72669;R-HSA-379865;R-HSA-379993;R-HSA-5419279;R-HSA-5389839;R-HSA-72671;R-HSA-379867;R-HSA-5419277;R-HSA-72670;R-HSA-379994;R-HSA-72673;R-HSA-72672;R-HSA-141671;R-HSA-72676;R-HSA-380002;R-HSA-156907;R-HSA-141673;R-HSA-380008;R-HSA-156909;R-HSA-379893;R-HSA-156915;R-HSA-156912;R-HSA-72691;R-HSA-5389857;R-HSA-72697;R-HSA-156923;R-HSA-141691,Translation
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,37,189,0.01326502,8.71E-07,6.0598157,1.26E-04,7,7,5.69E-04,9606,Homo sapiens,Rps16;Rpl13;Rpl38;Nol6;Rrp9;Bysl;Rps13;Fbl;Rpl12;Rpl34;Rps2;Rpl10a;Ftsj3;Rps26;Rps28;Rps29;Exosc4;Rps5;Pdcd11;Rpl27a;Rplp2;Wbscr22;Rpl27;Rps21;Nop56;Ddx49;Bop1;Rpl41;Nol12;Rplp0;Rplp1;Rpl13a;Tsr1;Rpl36al;Sik1,,R-HSA-6791223;R-HSA-6791222;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6791228;R-HSA-6791227,rRNA processing in nucleolus and cytosol
R-HSA-156842,Eukaryotic Translation Elongation,25,102,0.007158899,1.18E-06,5.927711626,1.55E-04,5,9,7.31E-04,9606,Homo sapiens,Eef1a2;Rps26;Rps16;Rps28;Rps29;Rps5;Rpl27a;Rpl13;Rplp2;Rpl27;Rpl38;Rps21;Rps13;Rpl41;Rplp0;Rpl12;Rplp1;Rpl34;Rpl13a;Rps2;Rpl36al;Rpl10a,,R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907;R-HSA-156909,Eukaryotic Translation Elongation
