Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-383280,Nuclear Receptor transcription pathway,20,86,0.006035935,2.32E-05,4.634094703,0.032859559,2,2,1.62E-04,9606,Homo sapiens,Nr3c2;Nr3c1;Thrb;Nr1h3;Rorc;Rora;Esrrg;Pparg,,R-HSA-382096;R-HSA-376419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,5,13,9.12E-04,0.003866775,2.412651068,0.792222339,2,3,2.44E-04,9606,Homo sapiens,Cd44,,R-HSA-428287;R-HSA-428296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-6806003,Regulation of TP53 Expression and Degradation,10,46,0.003228523,0.003883689,2.410755541,0.792222339,18,35,0.002843679,9606,Homo sapiens,Cds1;Akt3;Ccng1;Cdk1;Prdm1;Atm;Cdkn2a;Pdk1,,R-HSA-6792871;R-HSA-6804998;R-HSA-6804741;R-HSA-6804996;R-HSA-198599;R-HSA-6804194;R-HSA-6804193;R-HSA-6804879;R-HSA-349455;R-HSA-6792491;R-HSA-6795473;R-HSA-6791409;R-HSA-349426;R-HSA-6792863;R-HSA-6804191;R-HSA-6793661;R-HSA-6804188;R-HSA-6804955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1362300,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,6,20,0.001403706,0.005339947,2.27246304,0.792222339,8,8,6.50E-04,9606,Homo sapiens,E2f1;Cdk1;Tfdp2;Lin9,,R-HSA-8964588;R-HSA-8961934;R-HSA-8978926;R-HSA-8964513;R-HSA-8964561;R-HSA-8964580;R-HSA-8964550;R-HSA-8964567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-2559585,Oncogene Induced Senescence,9,42,0.002947782,0.006545792,2.184037804,0.792222339,13,19,0.001543711,9606,Homo sapiens,E2f1;Cdkn2a;Tfdp2;Cdkn2c,,R-HSA-182594;R-HSA-6804998;R-HSA-6804996;R-HSA-8979082;R-HSA-3209109;R-HSA-3209111;R-HSA-3200023;R-HSA-6804879;R-HSA-3209114;R-HSA-3209151;R-HSA-3209096;R-HSA-3209098;R-HSA-9645672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9614085,FOXO-mediated transcription,17,110,0.007720382,0.007029065,2.153102431,0.792222339,24,85,0.006906077,9606,Homo sapiens,Kat2b;Ins1;Fbxo32;Nr3c1;Btg1;Pink1;Nfyb;Cav1;Txnip;Akt3;Ccng2;Ppargc1a,,R-HSA-199299;R-HSA-9620915;R-HSA-9622579;R-HSA-9623280;R-HSA-9624624;R-HSA-9624976;R-HSA-9623281;R-HSA-9621270;R-HSA-9623415;R-HSA-9620891;R-HSA-9623192;R-HSA-9624985;R-HSA-9620828;R-HSA-9625693;R-HSA-9620515;R-HSA-9625699;R-HSA-9624611;R-HSA-9623168;R-HSA-9617735;R-HSA-9620837;R-HSA-9623240;R-HSA-9621289;R-HSA-9622604;R-HSA-9622572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-418457,cGMP effects,5,18,0.001263335,0.014379474,1.842256991,0.792222339,4,4,3.25E-04,9606,Homo sapiens,Kcnmb2;Prkg2;Pde5a,,R-HSA-418549;R-HSA-418451;R-HSA-418442;R-HSA-418456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,6,27,0.001895003,0.020637085,1.685351648,0.792222339,6,22,0.001787455,9606,Homo sapiens,Btg1;Cav1;Ccng2,,R-HSA-9620915;R-HSA-9624976;R-HSA-9620837;R-HSA-9620891;R-HSA-9624985;R-HSA-9620828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-6804757,Regulation of TP53 Degradation,8,43,0.003017967,0.021395971,1.669667993,0.792222339,14,30,0.002437439,9606,Homo sapiens,Cds1;Akt3;Ccng1;Cdk1;Atm;Cdkn2a;Pdk1,,R-HSA-6792871;R-HSA-6804998;R-HSA-6804741;R-HSA-6804996;R-HSA-198599;R-HSA-6804879;R-HSA-349455;R-HSA-6792491;R-HSA-6795473;R-HSA-6791409;R-HSA-349426;R-HSA-6792863;R-HSA-6793661;R-HSA-6804955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9027283,Erythropoietin activates STAT5,3,9,6.32E-04,0.034385878,1.463619876,0.792222339,3,3,2.44E-04,9606,Homo sapiens,Lyn;Stat5b;Jak2,,R-HSA-9012651;R-HSA-9012650;R-HSA-9012654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
