Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,20,115,0.0080583,2.14E-09,2.32E-06,12,16,0.001178464,9606,Homo sapiens,Rps25;Rpl24;Asns;Trib3;Rpl15;Rpl17;Cebpb;Rps11;Rps24;Rpl32;Rplp0;Rpl12;Rps27l;Atf3,,R-HSA-9633008;R-HSA-9635936;R-HSA-9635927;R-HSA-1791118;R-HSA-9635892;R-HSA-9635915;R-HSA-9635912;R-HSA-9633742;R-HSA-9635918;R-HSA-1791173;R-HSA-9634669;R-HSA-9633005
R-HSA-9711097,Cellular response to starvation,23,176,0.012332703,2.63E-08,1.43E-05,20,28,0.002062311,9606,Homo sapiens,Rps25;Rragd;Rpl24;Asns;Trib3;Rpl15;Rpl17;Cebpb;Rps11;Rps24;Atp6v1g1;Rpl32;Rplp0;Rpl12;Rps27l;Atf3,,R-HSA-9633008;R-HSA-9635927;R-HSA-9639286;R-HSA-9635892;R-HSA-9645598;R-HSA-9640195;R-HSA-9635936;R-HSA-9640167;R-HSA-1791118;R-HSA-9646468;R-HSA-9635915;R-HSA-9640168;R-HSA-9645608;R-HSA-9635912;R-HSA-9640175;R-HSA-9633742;R-HSA-9635918;R-HSA-1791173;R-HSA-9634669;R-HSA-9633005
R-HSA-2262752,Cellular responses to stress,62,952,0.06670871,1.29E-07,4.66E-05,116,381,0.028062164,9606,Homo sapiens,Extl1;Psmc2;Psme3;Tuba1c;Asns;Trib3;Hsp90b1;Rpl15;Hmox1;Rpl17;Cebpb;Rps11;Kdelr3;Hmox2;Ets2;Txn2;Camk2d;Rpl32;Rpl12;Hspb8;Ube2e1;Ero1l;Tfdp1;Mafk;Rps27l;Psmb5;Rps25;Npas2;Creb3;Cycs;Rragd;Rpl24;Rps24;Ppp1r15a;Hspa9;Atp6v1g1;Hspa5;Rplp0;Prkcd;Tuba4a;Hspa2;Cdkn1a;Atf3,,R-HSA-3790137;R-HSA-8979082;R-HSA-3790130;R-HSA-3240765;R-HSA-3240766;R-HSA-3371554;R-HSA-9653894;R-HSA-1368065;R-HSA-9653893;R-HSA-9646468;R-HSA-187934;R-HSA-5251955;R-HSA-381217;R-HSA-5251959;R-HSA-3786258;R-HSA-8932284;R-HSA-5251942;R-HSA-9708457;R-HSA-9707690;R-HSA-3322995;R-HSA-5082369;R-HSA-9653724;R-HSA-8874197;R-HSA-8874192;R-HSA-8874204;R-HSA-5663245;R-HSA-9633742;R-HSA-5082384;R-HSA-5082387;R-HSA-8874200;R-HSA-3240787;R-HSA-9633008;R-HSA-9654774;R-HSA-549475;R-HSA-9708536;R-HSA-3132737;R-HSA-8953336;R-HSA-9654752;R-HSA-9640167;R-HSA-3371590;R-HSA-3240777;R-HSA-9640168;R-HSA-9640175;R-HSA-9653742;R-HSA-3240783;R-HSA-3240782;R-HSA-9633005;R-HSA-3857336;R-HSA-9650710;R-HSA-1791123;R-HSA-3857328;R-HSA-3857329;R-HSA-8932355;R-HSA-163214;R-HSA-3788725;R-HSA-9645598;R-HSA-3788724;R-HSA-9640195;R-HSA-1791118;R-HSA-9707523;R-HSA-3788705;R-HSA-3323050;R-HSA-5252041;R-HSA-9708557;R-HSA-9708558;R-HSA-381086;R-HSA-3788708;R-HSA-1791163;R-HSA-3857305;R-HSA-3209109;R-HSA-3857308;R-HSA-9635892;R-HSA-3371422;R-HSA-1791150;R-HSA-3209096;R-HSA-5082356;R-HSA-3209098;R-HSA-9645608;R-HSA-69562;R-HSA-5252079;R-HSA-3341296;R-HSA-9635927;R-HSA-9709918;R-HSA-3371518;R-HSA-189398;R-HSA-9635915;R-HSA-9635912;R-HSA-3341294;R-HSA-3371503;R-HSA-9635918;R-HSA-1791173;R-HSA-3697894;R-HSA-381158;R-HSA-9639286;R-HSA-8874849;R-HSA-5618098;R-HSA-3858387;R-HSA-9707645;R-HSA-3209177;R-HSA-3209179;R-HSA-5618110;R-HSA-5618105;R-HSA-4647594;R-HSA-5618107;R-HSA-4647593;R-HSA-5618085;R-HSA-1250272;R-HSA-9635936;R-HSA-5618080;R-HSA-3371467;R-HSA-4647613;R-HSA-3857345;R-HSA-3209165;R-HSA-1234159;R-HSA-3857348;R-HSA-9634669
R-HSA-8953897,Cellular responses to stimuli,62,970,0.067970009,2.45E-07,6.61E-05,116,412,0.030345437,9606,Homo sapiens,Extl1;Psmc2;Psme3;Tuba1c;Asns;Trib3;Hsp90b1;Rpl15;Hmox1;Rpl17;Cebpb;Rps11;Kdelr3;Hmox2;Ets2;Txn2;Camk2d;Rpl32;Rpl12;Hspb8;Ube2e1;Ero1l;Tfdp1;Mafk;Rps27l;Psmb5;Rps25;Npas2;Creb3;Cycs;Rragd;Rpl24;Rps24;Ppp1r15a;Hspa9;Atp6v1g1;Hspa5;Rplp0;Prkcd;Tuba4a;Hspa2;Cdkn1a;Atf3,,R-HSA-3790137;R-HSA-8979082;R-HSA-3790130;R-HSA-3240765;R-HSA-3240766;R-HSA-3371554;R-HSA-9653894;R-HSA-1368065;R-HSA-9653893;R-HSA-9646468;R-HSA-187934;R-HSA-5251955;R-HSA-381217;R-HSA-5251959;R-HSA-3786258;R-HSA-8932284;R-HSA-5251942;R-HSA-9708457;R-HSA-9707690;R-HSA-3322995;R-HSA-5082369;R-HSA-9653724;R-HSA-8874197;R-HSA-8874192;R-HSA-8874204;R-HSA-5663245;R-HSA-9633742;R-HSA-5082384;R-HSA-5082387;R-HSA-8874200;R-HSA-3240787;R-HSA-9633008;R-HSA-9654774;R-HSA-549475;R-HSA-9708536;R-HSA-3132737;R-HSA-8953336;R-HSA-9654752;R-HSA-9640167;R-HSA-3371590;R-HSA-3240777;R-HSA-9640168;R-HSA-9640175;R-HSA-9653742;R-HSA-3240783;R-HSA-3240782;R-HSA-9633005;R-HSA-3857336;R-HSA-9650710;R-HSA-1791123;R-HSA-3857328;R-HSA-3857329;R-HSA-8932355;R-HSA-163214;R-HSA-3788725;R-HSA-9645598;R-HSA-3788724;R-HSA-9640195;R-HSA-1791118;R-HSA-9707523;R-HSA-3788705;R-HSA-3323050;R-HSA-5252041;R-HSA-9708557;R-HSA-9708558;R-HSA-381086;R-HSA-3788708;R-HSA-1791163;R-HSA-3857305;R-HSA-3209109;R-HSA-3857308;R-HSA-9635892;R-HSA-3371422;R-HSA-1791150;R-HSA-3209096;R-HSA-5082356;R-HSA-3209098;R-HSA-9645608;R-HSA-69562;R-HSA-5252079;R-HSA-3341296;R-HSA-9635927;R-HSA-9709918;R-HSA-3371518;R-HSA-189398;R-HSA-9635915;R-HSA-9635912;R-HSA-3341294;R-HSA-3371503;R-HSA-9635918;R-HSA-1791173;R-HSA-3697894;R-HSA-381158;R-HSA-9639286;R-HSA-8874849;R-HSA-5618098;R-HSA-3858387;R-HSA-9707645;R-HSA-3209177;R-HSA-3209179;R-HSA-5618110;R-HSA-5618105;R-HSA-4647594;R-HSA-5618107;R-HSA-4647593;R-HSA-5618085;R-HSA-1250272;R-HSA-9635936;R-HSA-5618080;R-HSA-3371467;R-HSA-4647613;R-HSA-3857345;R-HSA-3209165;R-HSA-1234159;R-HSA-3857348;R-HSA-9634669
R-HSA-9648895,Response of EIF2AK1 (HRI) to heme deficiency,9,29,0.002032093,5.99E-07,1.29E-04,11,20,0.001473079,9606,Homo sapiens,Ppp1r15a;Asns;Trib3;Cebpb;Atf3,,R-HSA-9654752;R-HSA-9635927;R-HSA-9650710;R-HSA-9653894;R-HSA-1791118;R-HSA-9654774;R-HSA-9653893;R-HSA-9635915;R-HSA-9635912;R-HSA-9653742;R-HSA-9653724
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),13,101,0.00707729,3.29E-05,0.005905741,1,1,7.37E-05,9606,Homo sapiens,Rps25;Pabpc1;Rpl32;Rplp0;Rpl12;Rpl24;Rpl15;Rpl17;Rps11;Rps27l;Rps24,,R-HSA-927789
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,18,183,0.012823208,3.83E-05,0.005905741,3,20,0.001473079,9606,Homo sapiens,Psmb5;Rps25;Psmc2;Psme3;Pabpc1;Rpl24;Rpl15;Rpl17;Rps11;Rps24;Rpl32;Rplp0;Rpl12;Rps27l,,R-HSA-9014652;R-HSA-9011313;R-HSA-9014610
R-HSA-156902,Peptide chain elongation,12,97,0.006797001,9.46E-05,0.011761276,4,5,3.68E-04,9606,Homo sapiens,Rps25;Rpl32;Rplp0;Rpl12;Rpl24;Rpl15;Rpl17;Rps11;Rps27l;Rps24,,R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907
R-HSA-72613,Eukaryotic Translation Initiation,14,130,0.009109383,1.09E-04,0.011761276,13,21,0.001546733,9606,Homo sapiens,Rps25;Rpl32;Pabpc1;Rplp0;Rpl12;Rpl24;Eif4ebp1;Rpl15;Rpl17;Rps11;Rps27l;Rps24,,R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-156808;R-HSA-72619;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-156823;R-HSA-156826;R-HSA-72697;R-HSA-157849;R-HSA-72671
R-HSA-72737,Cap-dependent Translation Initiation,14,130,0.009109383,1.09E-04,0.011761276,11,18,0.001325772,9606,Homo sapiens,Rps25;Rpl32;Pabpc1;Rplp0;Rpl12;Rpl24;Eif4ebp1;Rpl15;Rpl17;Rps11;Rps27l;Rps24,,R-HSA-72673;R-HSA-72672;R-HSA-72691;R-HSA-72676;R-HSA-72697;R-HSA-156808;R-HSA-72619;R-HSA-157849;R-HSA-72621;R-HSA-72671;R-HSA-72622
