Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-210745,Regulation of gene expression in beta cells,12,35,0.002452526,2.52E-07,2.68E-04,8,12,8.84E-04,9606,Homo sapiens,Pklr;Rfx6;Hnf4a;Slc2a2;Pdx1;Mafa,,R-HSA-211346;R-HSA-211350;R-HSA-211301;R-HSA-211461;R-HSA-211476;R-HSA-211466;R-HSA-211289;R-HSA-211272
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,14,67,0.004694836,8.27E-06,0.00440124,20,26,0.001915003,9606,Homo sapiens,Col1a2;Col3a1;Col1a1;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col6a3;Ctss;Bmp1;Loxl2,,R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-1474266;R-HSA-2396234;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-2243926;R-HSA-2213205;R-HSA-2395314;R-HSA-2213207;R-HSA-2395324;R-HSA-2243931;R-HSA-2214330;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301
R-HSA-419037,NCAM1 interactions,11,44,0.003083176,1.52E-05,0.005382628,4,10,7.37E-04,9606,Homo sapiens,Cacna1g;Col3a1;Cacnb2;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col6a3;Gfra1,,R-HSA-525833;R-HSA-375149;R-HSA-375151;R-HSA-375144
R-HSA-186712,Regulation of beta-cell development,13,67,0.004694836,3.66E-05,0.009732067,12,26,0.001915003,9606,Homo sapiens,Pklr;Rfx6;Notch1;Hnf4a;Slc2a2;Pdx1;Mafa,,R-HSA-1980047;R-HSA-211346;R-HSA-210769;R-HSA-211350;R-HSA-211301;R-HSA-211461;R-HSA-210773;R-HSA-211476;R-HSA-211466;R-HSA-211289;R-HSA-211272;R-HSA-210780
R-HSA-3000178,ECM proteoglycans,14,79,0.005535702,4.89E-05,0.010033663,13,23,0.001694041,9606,Homo sapiens,Col1a2;Col3a1;Col1a1;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Bgn;Col6a6;Col6a3;Hapln1;Tnr;Lamb1,,R-HSA-4086204;R-HSA-2327909;R-HSA-2327886;R-HSA-2424246;R-HSA-2396370;R-HSA-2424243;R-HSA-2424252;R-HSA-2396124;R-HSA-2681681;R-HSA-2466238;R-HSA-2318623;R-HSA-2465883;R-HSA-2466106
R-HSA-375165,NCAM signaling for neurite out-growth,13,70,0.004905052,5.67E-05,0.010033663,11,23,0.001694041,9606,Homo sapiens,Cacna1g;Col3a1;Cacnb2;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col6a3;Sptan1;Sptbn4;Gfra1,,R-HSA-392053;R-HSA-525833;R-HSA-392054;R-HSA-392051;R-HSA-375149;R-HSA-391868;R-HSA-375151;R-HSA-391871;R-HSA-391865;R-HSA-375144;R-HSA-391866
R-HSA-8948216,Collagen chain trimerization,10,44,0.003083176,8.02E-05,0.012194563,5,28,0.002062311,9606,Homo sapiens,Col1a2;Col3a1;Col1a1;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col6a3,,R-HSA-8944265;R-HSA-8944223;R-HSA-8944240;R-HSA-8944214;R-HSA-8944247
R-HSA-216083,Integrin cell surface interactions,14,86,0.006026207,1.18E-04,0.015702738,12,55,0.004050969,9606,Homo sapiens,Col1a2;Col3a1;Col1a1;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col6a3;Cdh1;Cd44;Fbn1;Jam2,,R-HSA-4085087;R-HSA-202706;R-HSA-114563;R-HSA-4539779;R-HSA-4084903;R-HSA-265422;R-HSA-2752115;R-HSA-216040;R-HSA-265423;R-HSA-2327695;R-HSA-216045;R-HSA-4084912
R-HSA-2243919,Crosslinking of collagen fibrils,7,24,0.001681732,2.14E-04,0.025219919,13,13,9.58E-04,9606,Homo sapiens,Col1a2;Col1a1;Bmp1;Col4a1;Col4a2;Loxl2,,R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-2559639;R-HSA-2395223;R-HSA-2243926;R-HSA-2395314;R-HSA-2395324;R-HSA-2243931;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301
R-HSA-1474290,Collagen formation,15,104,0.007287506,2.49E-04,0.026416399,47,77,0.005671356,9606,Homo sapiens,Col1a2;Col3a1;Col1a1;Col6a1;Col6a2;Col4a1;Col4a2;Col5a1;Col6a6;Col6a3;Ctss;Bmp1;Colgalt2;Loxl2,,R-HSA-8948232;R-HSA-8944265;R-HSA-2395302;R-HSA-2002460;R-HSA-8948234;R-HSA-8948224;R-HSA-8948226;R-HSA-1474266;R-HSA-8948228;R-HSA-8948230;R-HSA-8948231;R-HSA-2002440;R-HSA-2395314;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-2395324;R-HSA-2214330;R-HSA-2395257;R-HSA-2395322;R-HSA-8944214;R-HSA-1981120;R-HSA-2250301;R-HSA-1650808;R-HSA-2002428;R-HSA-2022141;R-HSA-1614460;R-HSA-1614461;R-HSA-2022073;R-HSA-2395340;R-HSA-2089971;R-HSA-2396234;R-HSA-1981104;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-8948219;R-HSA-2243926;R-HSA-2213205;R-HSA-8948222;R-HSA-2213207;R-HSA-8944240;R-HSA-2243931;R-HSA-1981157;R-HSA-2002466;R-HSA-8944247
R-HSA-2672351,Stimuli-sensing channels,16,119,0.008338589,3.38E-04,0.03249067,11,28,0.002062311,9606,Homo sapiens,Fkbp1b;Trpm2;Unc80;Scnn1b;Wnk4;Fkbp9;Ano6;Unc79;Asic2;Ano1;Wnk3;Wnk2;Nedd4l;Sgk2;Nalcn;Tpcn1,,R-HSA-8863494;R-HSA-2730664;R-HSA-9659568;R-HSA-2671885;R-HSA-2682349;R-HSA-9650165;R-HSA-2672334;R-HSA-2855020;R-HSA-2685505;R-HSA-3295579;R-HSA-2684901
R-HSA-5578775,Ion homeostasis,11,64,0.004484619,3.94E-04,0.034672394,13,16,0.001178464,9606,Homo sapiens,Fkbp1b;Camk2b;Dmpk;Atp2b2;Atp1b2;Atp2b4;Atp2a3;Fkbp9;Slc8a2;Itpr3;Itpr2;Itpr1,,R-HSA-427910;R-HSA-418309;R-HSA-2855020;R-HSA-5617182;R-HSA-5578777;R-HSA-139854;R-HSA-5617179;R-HSA-936897;R-HSA-5617178;R-HSA-169683;R-HSA-9684068;R-HSA-5226904;R-HSA-425661
