Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9022692,Regulation of MECP2 expression and activity,12,39,0.002732815,1.67E-05,0.024046076,13,14,0.001031156,9606,Homo sapiens,Ncor1;Mecp2;Camk2b;Tbl1xr1;Ago3;Ago2;Tbl1x;Htt;Tnrc6b,,R-HSA-9023592;R-HSA-9005995;R-HSA-9022314;R-HSA-9022625;R-HSA-9021888;R-HSA-9018594;R-HSA-8986937;R-HSA-8986939;R-HSA-9023132;R-HSA-9021183;R-HSA-9021182;R-HSA-9006992;R-HSA-9615501
R-HSA-9022927,MECP2 regulates transcription of genes involved in GABA signaling,5,6,4.20E-04,5.91E-05,0.028905844,4,4,2.95E-04,9606,Homo sapiens,Mecp2;Gad1,,R-HSA-9022941;R-HSA-9022942;R-HSA-9022935;R-HSA-9022934
R-HSA-8986944,Transcriptional Regulation by MECP2,19,100,0.007007217,6.02E-05,0.028905844,76,77,0.005671356,9606,Homo sapiens,Ncor1;Mecp2;Gria2;Camk2b;Mef2c;Tbl1xr1;Ago3;Gad1;Ago2;Tbl1x;Htt;Tnrc6b,,R-HSA-9022728;R-HSA-9022734;R-HSA-9021953;R-HSA-9021952;R-HSA-9021954;R-HSA-9017988;R-HSA-9022872;R-HSA-9021851;R-HSA-9006490;R-HSA-9022365;R-HSA-9023132;R-HSA-9006992;R-HSA-9022359;R-HSA-9021847;R-HSA-9615501;R-HSA-9022870;R-HSA-9006507;R-HSA-9615536;R-HSA-9005995;R-HSA-9005994;R-HSA-9006122;R-HSA-9006508;R-HSA-9022764;R-HSA-9022625;R-HSA-9615801;R-HSA-9005988;R-HSA-9006503;R-HSA-8986937;R-HSA-8986939;R-HSA-9023549;R-HSA-8986940;R-HSA-8986943;R-HSA-9023538;R-HSA-9022770;R-HSA-9615570;R-HSA-9615571;R-HSA-9615829;R-HSA-9017921;R-HSA-9021888;R-HSA-9615554;R-HSA-9020504;R-HSA-9022941;R-HSA-9022175;R-HSA-9021919;R-HSA-9022942;R-HSA-9022935;R-HSA-9022934;R-HSA-9023592;R-HSA-9022315;R-HSA-9022314;R-HSA-9022186;R-HSA-9021935;R-HSA-9020513;R-HSA-9017441;R-HSA-9017954;R-HSA-9006050;R-HSA-9018594;R-HSA-9017447;R-HSA-9006585;R-HSA-9021945;R-HSA-9022456;R-HSA-9021944;R-HSA-9021946;R-HSA-9021949;R-HSA-9021948;R-HSA-9006588;R-HSA-9021183;R-HSA-9021951;R-HSA-9017983;R-HSA-9021182;R-HSA-9021950;R-HSA-9023345;R-HSA-9023346;R-HSA-9022453;R-HSA-9023348;R-HSA-9023351
R-HSA-9022537,Loss of MECP2 binding ability to the NCoR/SMRT complex,5,8,5.61E-04,2.23E-04,0.080433452,1,1,7.37E-05,9606,Homo sapiens,Ncor1;Mecp2;Tbl1xr1;Tbl1x,,R-HSA-9005585
R-HSA-1368082,RORA activates gene expression,8,26,0.001821877,4.16E-04,0.119904764,4,4,2.95E-04,9606,Homo sapiens,Crebbp;Ncoa1;Tbl1xr1;Ncoa6;Ep300;Tbl1x;Chd9;Zc3h12c,,R-HSA-1368081;R-HSA-5663264;R-HSA-1801587;R-HSA-5663293
R-HSA-400253,Circadian Clock,17,105,0.007357578,8.57E-04,0.205683526,30,59,0.004345584,9606,Homo sapiens,Ncor1;Ppp1cb;Nr3c1;Tbl1x;Ep300;Crebbp;Per1;Ncoa1;Mef2c;Dbp;Tbl1xr1;Ncoa6;Chd9;Zc3h12c,,R-HSA-549385;R-HSA-5663252;R-HSA-1368087;R-HSA-1368081;R-HSA-400256;R-HSA-5663132;R-HSA-5663258;R-HSA-400267;R-HSA-400342;R-HSA-5663174;R-HSA-1368069;R-HSA-1368065;R-HSA-549533;R-HSA-5663246;R-HSA-1368140;R-HSA-5663245;R-HSA-400219;R-HSA-879762;R-HSA-879724;R-HSA-1368119;R-HSA-1801587;R-HSA-1856948;R-HSA-5663293;R-HSA-549475;R-HSA-5663271;R-HSA-5663264;R-HSA-5663265;R-HSA-400382;R-HSA-549493;R-HSA-5663273
R-HSA-428359,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,5,13,9.11E-04,0.0019324,0.349100494,2,3,2.21E-04,9606,Homo sapiens,Cd44,,R-HSA-428287;R-HSA-428296
R-HSA-9006936,Signaling by TGFB family members,17,116,0.008128372,0.002408624,0.349100494,49,113,0.008322899,9606,Homo sapiens,Ncor1;Ppp1cb;Fkbp1b;Nedd4;Cgn;Cbl;Trim33;Bmpr2;Usp9x;Ccnt2;Sp1;Nedd4l;Bambi;Emb;Mtmr4;Skil;Smad5;Fstl1,,R-HSA-201475;R-HSA-2176417;R-HSA-178178;R-HSA-2176416;R-HSA-202626;R-HSA-2160931;R-HSA-201472;R-HSA-2160932;R-HSA-2187303;R-HSA-201476;R-HSA-2160935;R-HSA-9736979;R-HSA-870538;R-HSA-4332235;R-HSA-2187309;R-HSA-4332236;R-HSA-178189;R-HSA-2134532;R-HSA-178215;R-HSA-2187401;R-HSA-178218;R-HSA-870437;R-HSA-173483;R-HSA-173481;R-HSA-2187405;R-HSA-2186767;R-HSA-201648;R-HSA-870449;R-HSA-870479;R-HSA-2134506;R-HSA-2176491;R-HSA-201423;R-HSA-201422;R-HSA-201810;R-HSA-201425;R-HSA-2186741;R-HSA-2167924;R-HSA-2134519;R-HSA-2176502;R-HSA-2186747;R-HSA-170846;R-HSA-201821;R-HSA-201443;R-HSA-201445;R-HSA-201453;R-HSA-202604;R-HSA-201457;R-HSA-2176475;R-HSA-2169050
R-HSA-170834,Signaling by TGF-beta Receptor Complex,14,87,0.006096279,0.002485661,0.349100494,34,88,0.00648155,9606,Homo sapiens,Ncor1;Ppp1cb;Fkbp1b;Nedd4;Cgn;Cbl;Trim33;Usp9x;Ccnt2;Sp1;Nedd4l;Bambi;Emb;Mtmr4;Skil,,R-HSA-2176417;R-HSA-178178;R-HSA-2176416;R-HSA-870479;R-HSA-2160931;R-HSA-2160932;R-HSA-2187303;R-HSA-2160935;R-HSA-9736979;R-HSA-870538;R-HSA-4332235;R-HSA-2134506;R-HSA-2176491;R-HSA-2187309;R-HSA-4332236;R-HSA-178189;R-HSA-2186741;R-HSA-2167924;R-HSA-2134519;R-HSA-2176502;R-HSA-2186747;R-HSA-170846;R-HSA-2134532;R-HSA-178215;R-HSA-2187401;R-HSA-178218;R-HSA-870437;R-HSA-173483;R-HSA-173481;R-HSA-2187405;R-HSA-2186767;R-HSA-2176475;R-HSA-2169050;R-HSA-870449
R-HSA-4420097,VEGFA-VEGFR2 Pathway,18,127,0.008899166,0.002594727,0.349100494,29,79,0.005818664,9606,Homo sapiens,Shc2;Rictor;Itgav;Trib1;Cdh5;Axl;Prkcb;Pdpk1;Ctnnd1;Cybb;Akt3;Kras;Rock1;Prkca;Pak3;Itpr2;Itpr1,,R-HSA-5218830;R-HSA-5218827;R-HSA-5218826;R-HSA-5218823;R-HSA-4420107;R-HSA-5218821;R-HSA-5218819;R-HSA-5218818;R-HSA-5228992;R-HSA-169683;R-HSA-169680;R-HSA-5218845;R-HSA-5357445;R-HSA-5218841;R-HSA-5218836;R-HSA-2317314;R-HSA-5357429;R-HSA-5357432;R-HSA-5218851;R-HSA-2316429;R-HSA-5357472;R-HSA-5218813;R-HSA-198640;R-HSA-5357477;R-HSA-5357479;R-HSA-5357483;R-HSA-5218805;R-HSA-3928647;R-HSA-198270
