"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MT-TV",5.5419377490478e-41,-0.271214707137851,0.338,0.652,3.39282970934455e-36
"HSPA1B",5.85780890125358e-39,-0.856351081198353,0.36,0.742,3.58620918743645e-34
"INHBA",2.641893568148e-36,-0.684329171889255,0.209,0.548,1.61739366135589e-31
"HSP90AA1",1.64159045215576e-35,-0.892777616749823,0.998,0.997,1.00499809071428e-30
"HSPH1",1.65461934574558e-32,-0.744306042594091,0.576,0.829,1.0129745096589e-27
"SURF4",5.62972514341865e-32,0.63276996442313,0.974,0.92,3.44657403005233e-27
"MT-ND1",1.8626568613935e-30,0.326921581193765,1,1,1.14033715711371e-25
"GNAS",3.12745817990404e-27,0.406576115881788,1,1,1.91466117231905e-22
"VEGFA",2.56315254406806e-26,-0.598551003520082,0.749,0.86,1.56918761900391e-21
"HADH",3.95412351298852e-26,0.50461057057766,0.947,0.813,2.4207539558867e-21
"SERPINA1",1.20307052257348e-25,-0.560113203843178,0.361,0.63,7.36531804624708e-21
"CDKN1C",4.59640069915609e-25,-1.0339936762862,0.639,0.796,2.81396247203035e-20
"P4HB",1.45001502791978e-24,0.584843925229303,0.9,0.815,8.87713700242767e-20
"MYO10",1.80589807139285e-24,-0.272531551649842,0.182,0.439,1.10558885828741e-19
"NEAT1",2.05387352254416e-24,-0.518490477131115,0.774,0.907,1.25740190923676e-19
"SARAF",3.39615716396946e-24,0.423805192837942,0.989,0.976,2.07916137735374e-19
"ROCK2",1.07942553365621e-23,-0.374173651345534,0.374,0.644,6.60835105959668e-19
"EHF",2.81127103525912e-23,-0.32493277184953,0.115,0.36,1.72108824049599e-18
"HSPA1A",1.57901183245191e-22,-1.46543980847557,0.413,0.649,9.66686833945384e-18
"HSPE1",4.12338094940682e-22,-0.398126729541659,0.78,0.867,2.52437505103635e-17
"TUBA4A",1.97645084370992e-21,0.413008161801265,0.871,0.689,1.21000297102765e-16
"RPN2",2.91054440972099e-21,0.411118794425373,0.947,0.855,1.78186439307529e-16
"DAP",8.35798076409857e-21,0.469333333530197,0.826,0.753,5.11683940358878e-16
"ATP6V0E2",3.92123878277808e-20,0.399031976997747,0.738,0.531,2.40062159520457e-15
"S100A6",6.42654835050431e-20,-0.593009336926504,0.858,0.945,3.93439716566224e-15
"CHGA",9.56178013743179e-20,0.52260595598066,0.991,0.986,5.85381741793711e-15
"RPL21",1.10523414576602e-19,-0.41280017047638,0.974,0.967,6.76635396379416e-15
"ST6GAL1",1.69599160556122e-19,-0.282513131774677,0.067,0.254,1.03830302084064e-14
"TNFRSF21",1.69820175071945e-19,0.348625243018363,0.801,0.661,1.03965609380796e-14
"MYOM1",2.60075322013551e-19,-0.272516787369587,0.137,0.353,1.59220712889916e-14
"PPP1R1A",1.61909111248346e-18,0.475302697106335,0.798,0.635,9.91223769973498e-14
"SCGN",1.88663864584755e-18,0.413262405539314,0.994,0.948,1.15501904537433e-13
"DDOST",4.24491820612476e-18,0.32282456978915,0.783,0.597,2.59878137497164e-13
"PSMC3",1.24065728894005e-17,0.378900816536557,0.794,0.637,7.59542798861988e-13
"GCG",1.75990566479865e-17,-0.303228811012934,0.933,0.964,1.07743184704638e-12
"TPD52",5.19740858485079e-17,0.371444934969626,0.972,0.894,3.1819055097315e-12
"SPRYD3",5.83267724211117e-17,0.319771108943743,0.763,0.574,3.57082333439288e-12
"LINC00963",2.03320813292712e-16,-0.288555281633841,0.321,0.538,1.24475035105931e-11
"SLC7A8",2.33120949575771e-16,0.293094008709003,0.972,0.922,1.42718976539783e-11
"SEC61A1",2.54143377903054e-16,0.445688770674,0.801,0.689,1.55589117386029e-11
"TMED2",5.54521822901446e-16,0.365086814254385,0.945,0.907,3.39483805198495e-11
"GOLIM4",5.89239222403054e-16,-0.483745172516923,0.517,0.699,3.60738144347374e-11
"PAM",6.08480611624122e-16,0.358610095348687,0.988,0.972,3.72517915242404e-11
"PTMA",7.02502972587172e-16,-0.335197865441168,0.992,0.995,4.30079344847593e-11
"HSPB1",7.77576959533234e-16,-0.494742400346559,0.539,0.751,4.76040390395841e-11
"TMOD1",1.86856975649197e-15,0.290013879632574,0.81,0.635,1.14395709062195e-10
"PTPRN",1.92806723574942e-15,0.396210195580801,0.986,0.946,1.18038204239815e-10
"ANXA2",3.56553813698037e-15,-0.399145566330299,0.743,0.903,2.18285810284075e-10
"SCD5",3.67315363874131e-15,0.332863162833558,0.826,0.69,2.24874138917382e-10
"INSIG1",3.72875556138954e-15,0.503640500339068,0.729,0.585,2.28278144223829e-10
"ABCC8",6.47974004685627e-15,0.397475953201881,0.964,0.896,3.96696165408588e-10
"FRYL",6.61364690969865e-15,-0.288986805736809,0.377,0.611,4.04894077458661e-10
"PCSK1",9.21898296511618e-15,0.406418461681328,0.969,0.939,5.64395356107378e-10
"RBM47",9.49119105421041e-15,-0.270191635430893,0.491,0.716,5.81060207529815e-10
"TUBA1A",1.03228387810517e-14,0.369879248099876,0.98,0.971,6.31974513014768e-10
"WSB1",1.26443394178943e-14,-0.371610460150736,0.771,0.894,7.74099103502904e-10
"AHI1",2.23383386296912e-14,-0.499596845131641,0.883,0.931,1.36757542924833e-09
"FOSB",2.5152178926482e-14,-0.664107135850128,0.456,0.69,1.53984154605815e-09
"MAGED2",3.23582753553907e-14,0.373776026109844,0.836,0.737,1.98100597553238e-09
"TMED10",5.48820499681281e-14,0.280260029616337,0.975,0.957,3.35993398109877e-09
"DUSP26",8.0103539521151e-14,0.317309171914557,0.715,0.559,4.90401879302439e-09
"NR4A3",9.37315939253718e-14,-0.365448005709828,0.114,0.275,5.73834191170519e-09
"PFDN5",9.45762706909487e-14,-0.282079636431273,0.977,0.988,5.79005386797057e-09
"ITM2B",1.20171110789936e-13,0.295926251711994,0.991,0.988,7.35699557367069e-09
"UCHL1",1.25713611533482e-13,0.251919584492438,0.981,0.939,7.6963130116913e-09
"KCNK17",1.33021306621928e-13,0.388742652166001,0.47,0.289,8.14369741270105e-09
"FNDC3A",1.55589746548513e-13,-0.500880730164113,0.762,0.869,9.5253598734465e-09
"SOX4",1.76411838540533e-13,-0.655388884729802,0.615,0.782,1.08001091672899e-08
"MOAP1",2.13868918242752e-13,0.297765014590659,0.586,0.408,1.30932690437395e-08
"CYB5R3",2.40530432861932e-13,0.274923415547151,0.843,0.751,1.47255136302403e-08
"CIRBP",3.17834028963351e-13,0.296192942529208,0.983,0.965,1.94581170871653e-08
"TNRC6B",3.94390421193919e-13,-0.369944001779065,0.854,0.924,2.41449759759129e-08
"PDIA3",4.23829024767376e-13,0.322147812902731,0.947,0.936,2.59472367252836e-08
"HNRNPK",5.11831123555339e-13,0.318982342679099,0.93,0.894,3.13348132151814e-08
"GHITM",6.78417784849414e-13,0.350358174111527,0.931,0.894,4.1533415206266e-08
"KIAA1324",7.19558253092778e-13,0.254943505151226,0.977,0.938,4.4052075812593e-08
"TAGLN2",8.79316572449463e-13,0.276662672929989,0.886,0.751,5.38326398819286e-08
"DNAJB9",8.93841381731862e-13,0.406629877709918,0.908,0.822,5.47218632310063e-08
"RPS28",1.00589716373987e-12,-0.355569319313026,0.975,0.988,6.15820302613187e-08
"IL6R",1.05916383312751e-12,-0.310424331342974,0.456,0.682,6.48430690278995e-08
"IAPP",1.09668125323773e-12,0.800226704371089,0.978,0.929,6.71399230044673e-08
"OS9",1.48724299263845e-12,0.273235109943311,0.614,0.469,9.10505032523186e-08
"ENTPD3",1.58959180637925e-12,0.34557414152868,0.642,0.474,9.73163999783438e-08
"MT-ATP6",1.69230545677534e-12,0.337429969343797,1,1,1.03604632369243e-07
"EIF4H",1.73106557210028e-12,0.301863987673731,0.732,0.618,1.05977565389551e-07
"SERINC1",1.81539883556058e-12,0.280132151016984,0.974,0.943,1.11140532111854e-07
"OLMALINC",2.04253313539657e-12,0.298074338365499,0.815,0.645,1.25045921082113e-07
"DPP6",2.13027715491079e-12,0.28248413546182,0.861,0.758,1.30417697700794e-07
"G6PC2",2.71112360991141e-12,0.836251478452458,0.827,0.804,1.65977698522386e-07
"YWHAQ",2.83529414552511e-12,0.418762275145396,0.931,0.924,1.73579542883193e-07
"SNHG6",3.01517822177229e-12,-0.297069227964116,0.787,0.874,1.84592225915121e-07
"PSAP",5.19849756659634e-12,0.341068673283432,0.998,0.979,3.18257219524595e-07
"HIST2H2BE",5.47204914854764e-12,0.324846577795079,0.466,0.296,3.35004320923235e-07
"MAST4",6.70021702837112e-12,-0.382891545375119,0.651,0.81,4.10193986693909e-07
"C1QBP",8.57458490046335e-12,0.263751826382096,0.651,0.509,5.24944662191267e-07
"SLC24A2",1.30657589487492e-11,-0.30181256531594,0.045,0.161,7.99898828601375e-07
"TM9SF2",1.39056915654922e-11,0.261023914202418,0.924,0.86,8.51320343330999e-07
"GNA13",1.69192304559721e-11,-0.295451918063453,0.408,0.6,1.03581220774507e-06
"ACPP",1.84701374231472e-11,0.399187513880277,0.293,0.144,1.13076028318249e-06
"WEE1",1.97872196537196e-11,-0.355755049153506,0.204,0.369,1.21139337442036e-06
"EIF4G2",2.02671370392879e-11,0.264646842508274,0.975,0.953,1.24077439668224e-06
"ANAPC5",2.03263980773813e-11,0.269008450184827,0.793,0.689,1.24440241669536e-06
"FNIP1",2.75162077208495e-11,-0.465770477298442,0.776,0.844,1.68456975287813e-06
"PRDX4",2.81681808994536e-11,0.331480631176623,0.938,0.862,1.72448420284545e-06
"ASB9",3.00176410985969e-11,0.35965057453307,0.452,0.282,1.8377100056972e-06
