"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PPP1R1A",1.39440584638564e-57,1.15295903175192,0.872,0.347,8.53669203215755e-53
"SARAF",8.16638553779224e-44,1.15524686487221,0.983,0.951,4.99954289009179e-39
"DKK3",9.94329911986238e-43,-0.635857064447614,0.064,0.413,6.08738715417094e-38
"NPY",1.74707436355041e-39,-1.17984563465916,0.275,0.711,1.0695763961092e-34
"DAZAP2",6.4910267376463e-38,0.961526684042593,0.952,0.787,3.97387147905444e-33
"XBP1",2.38581453769975e-37,1.00029272133231,0.963,0.858,1.46061951812517e-32
"PDIA3",1.16756322339197e-33,0.965289981172074,0.968,0.884,7.14793880992796e-29
"PITHD1",7.43501812622055e-33,0.915588233234943,0.803,0.493,4.55179244705348e-28
"SLC3A2",8.04208541258394e-33,0.831533754589864,0.93,0.742,4.92344511043801e-28
"HSPA5",6.08156425787161e-32,1.25630144622925,0.968,0.902,3.72319445431158e-27
"RHBDD2",2.08831631418094e-31,0.801198595419259,0.944,0.796,1.27848813070471e-26
"SBDS",3.78493907034651e-31,0.873409364747389,0.929,0.747,2.31717754825684e-26
"YWHAQ",4.31321445625203e-31,0.777369705396704,0.978,0.933,2.64059302226206e-26
"TAGLN2",7.62188424807643e-30,0.759343125599467,0.885,0.609,4.66619375551487e-25
"UBE2D3",9.10477851444197e-30,0.657502000476067,0.979,0.924,5.57403645432652e-25
"TTR",1.09751624063656e-29,0.667668112744351,0.994,0.96,6.71910417680107e-25
"SLC7A8",9.2508694003845e-29,1.01562455212962,0.947,0.871,5.6634747556094e-24
"C1orf43",3.23921595176436e-28,0.696282963702493,0.911,0.751,1.98308039782966e-23
"CDKN1C",1.17438707854218e-27,-0.852729510440604,0.632,0.884,7.18971513354307e-23
"SHISAL1",1.36621396921459e-27,-0.345266358420759,0.138,0.453,8.36409854092866e-23
"FAIM2",5.51810941421286e-27,-0.343114472099457,0.017,0.2,3.37824176447525e-22
"CNBP",5.86504067832093e-27,0.60774139051529,0.983,0.911,3.59063655367486e-22
"RAB1A",1.25409468556461e-26,0.748054308262051,0.954,0.876,7.67769307449512e-22
"EPCAM",3.98747807192012e-26,0.765435008944427,0.985,0.973,2.44117395041022e-21
"SURF4",6.58199973987173e-26,0.758173690159128,0.963,0.924,4.02956606074687e-21
"ARF1",7.03595326827565e-26,0.653737530717295,0.974,0.933,4.30748095037103e-21
"PERP",3.90477616833413e-25,0.618290106241561,0.944,0.871,2.39054301801584e-20
"CIRBP",6.98134770245711e-25,0.578392854474982,0.977,0.88,4.27405087692127e-20
"ATP5ME",1.20509723757126e-24,-0.647971756257044,0.916,0.973,7.37772579813503e-20
"C12orf75",1.6973419114849e-24,0.570119380686573,0.852,0.591,1.03912969163017e-19
"HSP90AB1",1.74735246888857e-24,0.483363598177773,1,0.996,1.06974665497827e-19
"RHEB",5.25859496384955e-24,0.570440294652838,0.843,0.604,3.21936442281834e-19
"ATP6AP1",1.44844023912763e-23,0.698455772108915,0.93,0.844,8.86749598796327e-19
"TMED2",2.03155932759883e-22,0.50520672038529,0.97,0.893,1.24374093594928e-17
"IGFBP7",2.06678228509299e-22,0.435123572903174,0.728,0.422,1.26530478275678e-17
"RPS9",2.44067647712095e-22,0.538379785267896,0.961,0.893,1.49420654605821e-17
"XRCC6",3.76218035228135e-22,0.522553310664672,0.94,0.831,2.30324443347016e-17
"PPP1R15A",4.92739132162215e-22,0.714151557277598,0.708,0.422,3.0165982410103e-17
"TPM3",5.2105754039817e-22,0.537461698540225,0.954,0.849,3.18996636807164e-17
"TIMP2",7.9560053802076e-22,-0.822686755237751,0.644,0.849,4.8707460538169e-17
"NUDC",8.39796627413925e-22,0.591000193485542,0.905,0.773,5.14131893269079e-17
"SQSTM1",1.04170604108444e-21,0.4280998695535,0.882,0.64,6.37742855412303e-17
"MYDGF",1.28148161280429e-21,0.631406358710787,0.869,0.653,7.84535858174912e-17
"EIF4H",1.29970867612584e-21,0.615473594821704,0.793,0.6,7.95694648611002e-17
"ATP6V0D1",2.13017127347264e-21,0.735975630534826,0.895,0.724,1.30411215533268e-16
"UBE2D1",4.32040343599534e-21,0.857614653353303,0.594,0.307,2.64499418755071e-16
"EIF1",8.03395007576839e-21,0.52387434481037,0.999,1,4.91846457588617e-16
"MT-ND2",9.33257493183435e-21,0.401632993128507,1,1,5.71349569901831e-16
"KRT8",9.41890815493882e-21,0.612171687595414,0.893,0.711,5.76634976153509e-16
"UQCRFS1",1.12199223389655e-20,0.55073628682856,0.856,0.716,6.86894865513806e-16
"PAIP2",1.1692550025635e-20,0.40202774794139,0.925,0.72,7.158296051194e-16
"P4HB",1.83052576263468e-20,0.46659758206338,0.909,0.791,1.12066617714258e-15
"SIX3-AS1",2.53005889156977e-20,-0.412037648775937,0.17,0.444,1.54892735400793e-15
"COPE",4.31829193313435e-20,0.260771100251823,0.846,0.6,2.64370150438418e-15
"IGFBP5",5.7566793619918e-20,-0.510033633966913,0.294,0.609,3.524296672205e-15
"DAP",5.96306757684884e-20,0.589930855797606,0.81,0.622,3.65064960122263e-15
"DNAJB9",7.50899262326829e-20,0.590811005131337,0.88,0.684,4.59708037389108e-15
"SOX4",8.47152839057392e-20,-0.786486297815003,0.478,0.738,5.18635439599326e-15
"LMNA",1.01549117869134e-19,0.586292261855448,0.767,0.507,6.21693854506625e-15
"ERP44",1.10182066047238e-19,0.516225361608215,0.844,0.707,6.74545626547795e-15
"FBXO7",1.32884349521445e-19,0.521579839679112,0.899,0.778,8.13531276205235e-15
"HMGN2",1.47670183964071e-19,0.605083885210469,0.947,0.862,9.04051633246439e-15
"NFIA",1.58868809836649e-19,-0.51835126769056,0.382,0.693,9.72610740700951e-15
"TSPAN3",1.58924176037899e-19,0.524733396641629,0.963,0.924,9.72949698121622e-15
"MORF4L2",1.67463325980007e-19,0.455031314800382,0.968,0.916,1.0252272279822e-14
"CHMP1B",1.95062519977629e-19,0.393588988135134,0.836,0.591,1.19419225355505e-14
"TUBA4A",2.29366811084518e-19,0.638439942570305,0.855,0.64,1.40420655414053e-14
"TMOD1",2.95378538085454e-19,0.542204314221392,0.846,0.618,1.80833694801296e-14
"STXBP5",3.54579793009727e-19,-0.515642958531719,0.466,0.769,2.17077295078485e-14
"ARF5",7.09415587205648e-19,0.374928885805377,0.785,0.516,4.3431131664317e-14
"STX3",1.10164820287553e-18,0.483459710449369,0.749,0.516,6.7444004628243e-14
"RPL3",1.3841631476109e-18,0.556464056712091,0.999,0.991,8.47398520598871e-14
"HSPE1",1.43850174816851e-18,-0.421929563527648,0.869,0.964,8.80665155246243e-14
"AC055839.2",1.54417247791358e-18,0.271305936234012,0.589,0.258,9.45357832703474e-14
"GADD45B",1.68514398645783e-18,0.715577662054202,0.589,0.307,1.03166199994935e-13
"MCUB",2.47319004897706e-18,0.510653416704516,0.664,0.387,1.51411167988425e-13
"LAPTM4A",3.26013682854107e-18,0.492583446843796,0.962,0.924,1.99588836780113e-13
"FXYD2",3.29569016510974e-18,0.352405083699977,0.839,0.489,2.01765447598183e-13
"PKIB",3.55672891897238e-18,0.46772645065875,0.801,0.573,2.17746501148408e-13
"ISCU",3.94251725516618e-18,0.474719554132064,0.922,0.742,2.41364848878529e-13
"GAPDH",4.37625618006696e-18,0.401306872810258,0.972,0.884,2.67918779599879e-13
"MT-RNR2",5.44929842710439e-18,0.394642924850219,1,1,3.33611499005758e-13
"GHITM",6.30033800949207e-18,0.470760830472676,0.944,0.884,3.85712993279114e-13
"RBP4",6.71492976818011e-18,0.667030719286426,0.766,0.48,4.11094715337755e-13
"SIX3",8.40819422090812e-18,-0.255865321268077,0.226,0.52,5.14758058398216e-13
"ITM2B",1.3900565975973e-17,0.475892595325656,0.989,0.978,8.51006549615045e-13
"WBP11",1.66860003802141e-17,0.507724584383208,0.854,0.716,1.02153362927709e-12
"CFC1",1.8453189337972e-17,0.572995414785899,0.862,0.742,1.12972270445998e-12
"SLC25A6",2.63336083142366e-17,0.437571368459685,0.957,0.884,1.61216983460588e-12
"EWSR1",3.63086052070027e-17,0.41859737963381,0.909,0.764,2.22284911937791e-12
"EEF1A1",3.71767792362756e-17,0.752194961255634,0.99,1,2.27599960162403e-12
"TNFRSF12A",4.07086005906363e-17,0.468098425195278,0.633,0.387,2.49222123675935e-12
"PDIA6",4.21519974333664e-17,0.516393334689915,0.868,0.751,2.58058743486812e-12
"GOLT1A",6.03719554546402e-17,0.326146334688224,0.436,0.147,3.69603148488853e-12
