Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6811434,"COPI-dependent Golgi-to-ER retrograde traffic",8,107,0.007497722654333964,8.702739029420314E-8,3.542014784974068E-5,8,11,8.101937099506518E-4,9606,Homo sapiens,"ARF1;TUBA1A;TMED10;SURF4;TMED2;TUBA4A","","R-HSA-6811414;R-HSA-6811412;R-HSA-6811427;R-HSA-6811411;R-HSA-6811426;R-HSA-6811423;R-HSA-6811418;R-HSA-6811417"
R-HSA-381070,"IRE1alpha activates chaperones",7,101,0.007077289608296546,9.62977932950082E-7,9.431676255367005E-5,49,53,0.0039036606024895042,9606,Homo sapiens,"XBP1;DNAJB9;PDIA6","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791128;R-HSA-8953356;R-HSA-1791134;R-HSA-1791133;R-HSA-1791123;R-HSA-1791122;R-HSA-1791124;R-HSA-1791114;R-HSA-1791112;R-HSA-381203;R-HSA-1791116;R-HSA-1791108;R-HSA-1791167;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-1791156;R-HSA-1791144;R-HSA-1791139;R-HSA-1791138;R-HSA-1791137;R-HSA-1791143;R-HSA-1791066;R-HSA-1791064;R-HSA-1791071;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-1791060;R-HSA-1791177;R-HSA-1791054;R-HSA-1791169;R-HSA-1791172;R-HSA-1791096;R-HSA-1791102;R-HSA-1791088;R-HSA-1791092;R-HSA-8953336;R-HSA-1791083;R-HSA-1791084;R-HSA-1791075;R-HSA-1791076"
R-HSA-8856688,"Golgi-to-ER retrograde transport",8,148,0.010370681802256324,9.874181735591847E-7,9.431676255367005E-5,10,18,0.0013257715253737938,9606,Homo sapiens,"ARF1;TUBA1A;TMED10;SURF4;TMED2;TUBA4A","","R-HSA-8849350;R-HSA-6811414;R-HSA-6811412;R-HSA-6811427;R-HSA-6811411;R-HSA-6811426;R-HSA-6811423;R-HSA-6811418;R-HSA-6811417;R-HSA-8849353"
R-HSA-381119,"Unfolded Protein Response (UPR)",8,155,0.010861187022633311,1.3891079646555227E-6,9.431676255367005E-5,50,94,0.006923473521396479,9606,Homo sapiens,"XBP1;DNAJB9;PDIA6","","R-HSA-1791131;R-HSA-1791130;R-HSA-1791128;R-HSA-8953356;R-HSA-1791134;R-HSA-1791133;R-HSA-1791123;R-HSA-1791122;R-HSA-1791121;R-HSA-1791124;R-HSA-1791114;R-HSA-1791112;R-HSA-381203;R-HSA-1791116;R-HSA-1791108;R-HSA-1791167;R-HSA-1791164;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-1791156;R-HSA-1791144;R-HSA-1791139;R-HSA-1791138;R-HSA-1791137;R-HSA-1791143;R-HSA-1791066;R-HSA-1791064;R-HSA-1791071;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-1791186;R-HSA-1791057;R-HSA-1791184;R-HSA-1791060;R-HSA-1791177;R-HSA-1791054;R-HSA-1791169;R-HSA-1791172;R-HSA-1791096;R-HSA-1791102;R-HSA-1791088;R-HSA-1791092;R-HSA-8953336;R-HSA-1791083;R-HSA-1791084;R-HSA-1791075;R-HSA-1791076"
R-HSA-6807878,"COPI-mediated anterograde transport",7,107,0.007497722654333964,1.407712873935374E-6,9.431676255367005E-5,9,12,8.838476835825292E-4,9606,Homo sapiens,"ARF1;TMED10;TUBA1A;TMED2;TUBA4A","","R-HSA-6807877;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6807872;R-HSA-6809006;R-HSA-6807868;R-HSA-6809003;R-HSA-6807866"
R-HSA-446203,"Asparagine N-linked glycosylation",11,421,0.02950038539695887,9.682365928576075E-6,5.615772238574124E-4,24,144,0.01060617220299035,9606,Homo sapiens,"PDIA3;ARF1;TUBA1A;TMED10;OS9;RPN1;TMED2;TUBA4A;DDOST","","R-HSA-6807877;R-HSA-5694418;R-HSA-6807875;R-HSA-203973;R-HSA-446209;R-HSA-5694417;R-HSA-6807872;R-HSA-6809006;R-HSA-5694527;R-HSA-204008;R-HSA-6809003;R-HSA-5694522;R-HSA-5694439;R-HSA-548890;R-HSA-6809011;R-HSA-6809010;R-HSA-5694446;R-HSA-901047;R-HSA-6807868;R-HSA-5694410;R-HSA-6807866;R-HSA-5694409;R-HSA-8867288;R-HSA-5694441"
R-HSA-6811442,"Intra-Golgi and retrograde Golgi-to-ER traffic",8,219,0.015345806180365776,1.7018934627355264E-5,8.219505114818171E-4,13,48,0.003535390734330117,9606,Homo sapiens,"ARF1;TUBA1A;TMED10;SURF4;TMED2;TUBA4A","","R-HSA-8849350;R-HSA-6811427;R-HSA-8847875;R-HSA-6811426;R-HSA-8847883;R-HSA-8849353;R-HSA-8847880;R-HSA-6811414;R-HSA-6811412;R-HSA-6811411;R-HSA-6811423;R-HSA-6811418;R-HSA-6811417"
R-HSA-392499,"Metabolism of proteins",26,2205,0.15450914441875133,1.9073812794756506E-5,8.219505114818171E-4,68,798,0.0587758709582382,9606,Homo sapiens,"PDIA3;ARF1;TMED10;RPN1;PDIA6;PRSS23;TUBA4A;DDOST;SEC61A1;UCHL1;TUBA1A;HNRNPK;OS9;PSMC3;PSAP;EIF4H;TMED2;P4HB;GAPDH;ITM2B","","R-HSA-5686359;R-HSA-5694418;R-HSA-1799326;R-HSA-446209;R-HSA-5694417;R-HSA-156808;R-HSA-8956184;R-HSA-548890;R-HSA-5689539;R-HSA-156823;R-HSA-5665871;R-HSA-5690319;R-HSA-157849;R-HSA-5694410;R-HSA-5694409;R-HSA-6807877;R-HSA-5687284;R-HSA-6807875;R-HSA-6807872;R-HSA-72619;R-HSA-72621;R-HSA-8867370;R-HSA-5694439;R-HSA-8955706;R-HSA-5694446;R-HSA-1799329;R-HSA-901047;R-HSA-8866105;R-HSA-5694441;R-HSA-390470;R-HSA-203973;R-HSA-4570499;R-HSA-72647;R-HSA-389954;R-HSA-5685649;R-HSA-8955712;R-HSA-389964;R-HSA-6809006;R-HSA-5686301;R-HSA-389961;R-HSA-6809003;R-HSA-389963;R-HSA-976734;R-HSA-389972;R-HSA-389974;R-HSA-6809011;R-HSA-8955869;R-HSA-6809010;R-HSA-389970;R-HSA-5686286;R-HSA-389980;R-HSA-6807868;R-HSA-389976;R-HSA-6807866;R-HSA-389978;R-HSA-8867288;R-HSA-8956140;R-HSA-5685296;R-HSA-5665854;R-HSA-8952289;R-HSA-8865774;R-HSA-5694527;R-HSA-5686335;R-HSA-204008;R-HSA-5694522;R-HSA-5683879;R-HSA-72697;R-HSA-977136"
R-HSA-199977,"ER to Golgi Anterograde Transport",7,164,0.01149183659168944,2.221487868869776E-5,8.219505114818171E-4,20,39,0.00287250497164322,9606,Homo sapiens,"ARF1;TMED10;TUBA1A;TMED2;TUBA4A","","R-HSA-6807877;R-HSA-6807875;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-6807872;R-HSA-6809006;R-HSA-5694527;R-HSA-204008;R-HSA-6809003;R-HSA-5694522;R-HSA-5694439;R-HSA-6809011;R-HSA-6809010;R-HSA-5694446;R-HSA-6807868;R-HSA-5694410;R-HSA-6807866;R-HSA-5694441;R-HSA-5694409"
R-HSA-948021,"Transport to the Golgi and subsequent modification",7,219,0.015345806180365776,1.3468967461949255E-4,0.004178373562344073,20,60,0.004419238417912646,9606,Homo sapiens,"ARF1;TMED10;TUBA1A;TMED2;TUBA4A","","R-HSA-6807877;R-HSA-6807875;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-6807872;R-HSA-6809006;R-HSA-5694527;R-HSA-204008;R-HSA-6809003;R-HSA-5694522;R-HSA-5694439;R-HSA-6809011;R-HSA-6809010;R-HSA-5694446;R-HSA-6807868;R-HSA-5694410;R-HSA-6807866;R-HSA-5694441;R-HSA-5694409"
