Gene Name	deltaFC_Female	interaction_padj_Female	FC_Female_6hr_TGvsDMSO	padj_Female_6hr_TGvsDMSO	FC_Female_12hr_TGvsDMSO	padj_Female_12hr_TGvsDMSO
0610007P14Rik	0.205206345	0.334482393	0.117483925	0.264779202	0.32269027	0.002539511
0610009B22Rik	0.073552879	0.802996744	0.099421441	0.395254248	0.172974321	0.165136136
0610009L18Rik	-0.189605163	0.802703451	-0.596694542	0.021024463	-0.786299706	0.011516096
0610009O20Rik	-0.179595088	0.34793841	-0.022972235	0.835885651	-0.202567323	0.042320804
0610010F05Rik	0.119904415	0.664849664	-0.116849331	0.317948439	0.003055084	0.985696488
0610010K14Rik	0.187566884	0.462	0.045905591	0.733	0.233472475	0.0668
0610011F06Rik	-0.009440762	0.982085696	-0.435384554	0.000301232	-0.444825317	0.001331411
0610012G03Rik	0.145347908	0.675389343	-0.058374282	0.719877846	0.086973626	0.617426584
0610030E20Rik	-0.05326818	0.88760184	-0.053298989	0.725356182	-0.106567169	0.49120842
0610037L13Rik	0.074782185	0.743420877	0.110584025	0.206378052	0.185366211	0.05115537
0610039H22Rik	-0.276596656	0.896965241	1.871896325	0.00314322	1.595299668	0.053518948
0610040B10Rik	0.065881457	0.961710789	-0.557155972	0.2047878	-0.491274515	0.336300909
0610040F04Rik	0.096042254	0.96682946	0.007124373	0.993786474	0.103166627	0.917963672
0610040J01Rik	-0.034799509	0.884962918	-0.385776076	8.71E-08	-0.420575585	4.27E-07
0610043K17Rik	0.499145583	NA	-0.124992368	0.936	0.374153215	0.825
1010001N08Rik	-0.653551938	0.680497335	-0.824809288	0.214668764	-1.478361225	0.028247704
1110001J03Rik	0.408823187	0.213053559	0.267106662	0.1026953	0.675929849	8.68E-05
1110002L01Rik	0.289100099	0.271974702	0.12607744	0.35804838	0.41517754	0.002248406
1110004E09Rik	0.125624624	0.623756385	-0.037429263	0.764931561	0.088195361	0.497460584
1110004F10Rik	0.085054429	0.642318799	0.291256233	1.49E-05	0.376310661	9.34E-07
1110006O24Rik	-0.254751694	0.702916384	-0.560731802	0.025655934	-0.815483496	0.003069022
1110007C09Rik	0.329996997	0.134	0.149208866	0.2	0.479205864	7.67E-05
1110008F13Rik	0.173054429	0.430118235	0.52500102	3.13E-09	0.698055449	4.88E-12
1110008L16Rik	-0.25326959	0.418767051	-0.003694843	0.984123155	-0.256964433	0.112296075
1110008P14Rik	0.31491638	0.212388544	-0.162615479	0.21060222	0.152300901	0.308241616
1110012L19Rik	0.078075226	0.841275057	-0.004256462	0.981269204	0.073818764	0.679553099
1110017D15Rik	-0.289687272	0.825472414	0.527102534	0.299755078	0.237415262	0.698073055
1110019D14Rik	0.201407436	0.818	-0.267978704	0.447	-0.066571268	0.882
1110020A21Rik	0.210124295	0.779836694	-0.143131801	0.648947879	0.066992494	0.863319131
1110032A03Rik	0.018939594	0.954065078	0.178239381	0.088467517	0.197178974	0.091749379
1110032F04Rik	1.23463085	NA	0.382276714	0.873015132	1.616907565	0.587828611
1110034G24Rik	-0.111098521	0.779053105	-0.023009793	0.899922251	-0.134108315	0.453377221
1110037F02Rik	-0.117534396	0.370786234	-0.049330676	0.464357493	-0.166865072	0.011980615
1110038B12Rik	0.092775909	0.833838325	1.402667815	2.18E-24	1.495443724	1.10E-20
1110038F14Rik	0.208580516	0.345007155	-0.030118391	0.813418613	0.178462125	0.131569258
1110046J04Rik	-0.217345926	0.862	0.119493225	0.818	-0.097852701	0.873
1110051M20Rik	-0.11461514	0.680747933	-0.073190491	0.557850243	-0.187805631	0.134569767
1110059E24Rik	0.28492523	0.204069482	-0.084362143	0.502409193	0.200563087	0.115852648
1110059G10Rik	-0.146043401	0.707053554	0.006721222	0.971678792	-0.13932218	0.451206352
1110065P20Rik	0.053084859	0.905437766	0.421558949	0.002626842	0.474643808	0.003039723
1190002F15Rik	-0.601194436	0.799186259	-0.208236613	0.836947117	-0.809431049	0.464870708
1190002N15Rik	-0.115992716	0.636	-0.494122025	3.17E-08	-0.610114741	2.03E-09
1190007I07Rik	0.625315826	0.033640085	-0.009998706	0.96288597	0.61531712	0.000506793
1200014J11Rik	-0.255596568	0.196325249	0.085538281	0.429193213	-0.170058287	0.135092011
1300002E11Rik	-0.106674623	0.784	-0.072301111	0.668	-0.178975734	0.291
1300017J02Rik	-4.17599808	NA	3.231909326	0.109012138	-0.944088754	0.697244576
1500004A13Rik	-0.708691829	0.322929575	-0.104794627	0.795092149	-0.813486456	0.033170859
1500009L16Rik	-0.414308576	0.092618597	-0.829060254	4.28E-13	-1.24336883	2.14E-20
1500011B03Rik	-0.06706542	0.826474901	0.724500098	1.55E-13	0.657434678	7.99E-09
1500011K16Rik	0.256000002	0.326735304	0.258025496	0.031112158	0.514025498	6.93E-05
1500012F01Rik	0.579867997	0.0488	1.012076984	2.36E-12	1.591944981	3.54E-22
1500012K07Rik	0.846322978	NA	-2.301389565	0.13971552	-1.455066587	0.424749508
1500015A07Rik	-0.035481679	0.93863381	-0.19170373	0.210598915	-0.227185409	0.192176114
1500017E21Rik	-0.52053676	NA	-0.730905335	0.602926388	-1.251442095	0.450734005
1500026H17Rik	-0.056409554	0.944047925	-0.341546361	0.204607033	-0.397955915	0.182525172
1600002H07Rik	0.192592386	0.647181619	-0.341264065	0.036629167	-0.148671679	0.479992176
1600002K03Rik	0.292833113	0.304441923	0.323743279	0.012954552	0.616576393	1.41E-05
1600012H06Rik	0.039132575	0.874960213	-0.562060895	3.96E-14	-0.522928321	1.28E-09
1600014C10Rik	0.210800017	0.290824325	0.128724525	0.186326597	0.339524543	0.000878778
1600014C23Rik	2.775152774	NA	-1.847289911	0.398968499	0.927862864	0.649181408
1600020E01Rik	-0.925105427	0.005073836	0.81189991	7.98E-06	-0.113205517	0.652119687
1600023N17Rik	-0.675710626	0.71064575	-0.355137101	0.658306793	-1.030847727	0.21225018
1600029I14Rik	-3.240174881	NA	-1.433461462	0.331483685	-4.673636343	0.013029777
1700001C02Rik	-0.949689749	NA	0.183543407	0.886284703	-0.766146341	0.587828611
1700001C19Rik	0.670001902	0.171076586	0.805164908	0.000292177	1.475166811	2.07E-08
1700001G11Rik	-0.722919567	0.568012915	0.176944851	0.784566624	-0.545974716	0.39811751
1700001G17Rik	-0.46758391	0.654076443	0.334699953	0.476427884	-0.132883957	0.812365353
1700001J03Rik	-1.159578451	0.518328707	0.787210163	0.358184677	-0.372368288	0.700530493
1700001L05Rik	-0.04456078	0.956888231	-0.574059251	0.021374837	-0.618620031	0.030253465
1700001L19Rik	0.135771866	NA	-0.76205542	0.701276852	-0.626283554	0.79688859
1700001P01Rik	3.546717277	NA	-0.170007033	0.937136084	3.376710244	0.084328919
1700003E16Rik	-0.37408682	0.553511294	-0.497387816	0.049991056	-0.871474637	0.003050823
1700003M02Rik	0.917285521	0.532500799	0.285203242	0.687225064	1.202488763	0.101694305
1700003M07Rik	0.588138419	0.466397077	0.393996344	0.303036073	0.982134763	0.011300122
1700007K13Rik	0.278351403	0.721896722	-1.043263706	9.49E-05	-0.764912303	0.020930585
1700007L15Rik	0.163510222	0.802	-0.196749237	0.454	-0.033239015	0.922
1700008J07Rik	-0.283630955	0.437519682	-0.328178236	0.04142518	-0.611809191	0.00042202
1700008O03Rik	-1.758491639	NA	0.618964763	0.576214123	-1.139526876	0.355065581
1700010I14Rik	-0.412065307	0.609684382	-0.611815301	0.054552479	-1.023880608	0.004741529
1700011A15Rik	-2.012759291	NA	1.916359735	0.089509736	-0.096399556	0.949932167
1700012D01Rik	0.410387926	0.649107396	-0.66735983	0.059525963	-0.256971904	0.576113132
1700012D14Rik	0.436510296	0.780872727	-0.416279622	0.521810218	0.020230674	0.982059445
1700013F07Rik	1.241461673	0.154267271	-0.341177653	0.496185464	0.900284019	0.072336607
1700015F17Rik	-1.677161729	NA	3.047459165	0.110399647	1.370297435	0.550632478
1700016K19Rik	0.892034207	0.016383131	1.226157792	1.99E-11	2.118191999	3.88E-21
1700016L04Rik	-1.29290374	NA	-0.802384072	0.775058746	-2.095287811	0.493906006
1700017B05Rik	-0.252101097	0.247527237	0.518462201	6.01E-08	0.266361104	0.023451676
1700018L02Rik	0.154285176	0.892632677	-0.159236532	0.723860172	-0.004951356	0.993508511
1700019B03Rik	0.812505751	NA	-0.603024317	0.733530337	0.209481434	0.922918877
1700019D03Rik	0.187817401	0.56684001	0.051735493	0.755481631	0.239552894	0.127168431
1700019G17Rik	0.355858686	0.367402355	-0.41279193	0.018125505	-0.056933244	0.820645562
1700019L03Rik	-0.189929994	NA	-1.390697438	0.061387861	-1.580627432	0.08303164
1700020D05Rik	-0.465332069	0.527055022	1.069173238	0.000393936	0.603841169	0.078402645
1700020I14Rik	0.081724505	0.872474466	-0.406162326	0.014569953	-0.32443782	0.093775418
1700020L24Rik	0.279618469	NA	0.595145082	0.558095599	0.874763551	0.490441802
1700020N18Rik	-0.614903164	NA	-0.189784858	0.916094365	-0.804688022	0.686578679
1700021F05Rik	0.203932117	0.562060801	0.129248347	0.423446827	0.333180464	0.043488628
1700021K19Rik	-0.156699142	0.268638479	0.137030585	0.039955424	-0.019668558	0.833397341
1700023F06Rik	-0.234058769	0.57796037	-0.292925609	0.095131747	-0.526984378	0.005302948
1700024P16Rik	0.695324519	NA	1.182980963	0.16369814	1.878305482	0.059383312
1700025G04Rik	0.018373414	0.97478892	-0.055074456	0.795648594	-0.036701043	0.885933497
1700026J14Rik	0.640357018	0.531938029	-1.325146334	0.002069931	-0.684789317	0.154817347
1700026L06Rik	0.315993175	NA	-0.736509441	0.639084366	-0.420516266	0.802145212
1700028E10Rik	-0.773876553	0.612110325	-0.354134653	0.591212856	-1.128011206	0.135998526
1700028I16Rik	0.210721792	NA	-0.31095239	0.717648918	-0.100230597	0.919334875
1700028J19Rik	-0.226824122	0.912066553	0.253342905	0.75640368	0.026518783	0.980254855
1700028K03Rik	2.857515019	NA	-1.411955682	0.176965739	1.445559337	0.241732171
1700029I15Rik	0.375967968	0.817988046	-0.293295946	0.679430593	0.082672022	0.921858061
1700029J07Rik	-0.116542997	0.821650948	0.170422251	0.409085447	0.053879254	0.830828448
1700030C10Rik	-0.540983225	0.07903249	-0.231559666	0.171900615	-0.772542891	8.06E-06
1700030J22Rik	0.290770374	0.672442234	0.264056607	0.368094988	0.554826981	0.067357748
1700030K09Rik	-0.307342384	0.321644227	-0.004992768	0.979070276	-0.312335152	0.058257335
1700034H15Rik	-0.493616947	0.662063566	-0.289500795	0.573309159	-0.783117742	0.12929959
1700034P13Rik	-1.235532711	NA	2.675923676	0.093916474	1.440390965	0.30850596
1700037C18Rik	0.705545243	0.036816846	-0.049847485	0.831213837	0.655697758	0.001237453
1700037H04Rik	0.275944547	0.294	-0.188017162	0.136	0.087927385	0.581
1700040L02Rik	-0.241083674	0.75274373	0.518417739	0.055250879	0.277334064	0.434975071
1700042O10Rik	-0.067025743	NA	-0.314145053	0.815560607	-0.381170796	0.802441718
1700048O20Rik	-0.117956051	NA	-0.281115433	0.808494782	-0.399071484	0.722317219
1700049E15Rik	1.809133005	NA	2.287403641	0.13724202	4.096536646	0.039882886
1700049G17Rik	0.24323739	0.467142478	-0.062082646	0.727782807	0.181154744	0.301494487
1700052K11Rik	-0.014038013	0.976661576	-0.055118474	0.760804963	-0.069156487	0.723754014
1700056E22Rik	0.015173693	0.984496632	0.04777561	0.876364375	0.062949303	0.854739555
1700061G19Rik	-0.514331697	0.779	0.356713432	0.654	-0.157618266	0.865
1700064M15Rik	-1.176128302	NA	-0.436755931	0.765727585	-1.612884233	0.29289486
1700066B19Rik	-0.080724072	0.969601561	0.518338199	0.482362634	0.437614127	0.604433662
1700066M21Rik	0.667787205	0.045058699	1.350460508	1.02E-16	2.018247713	2.97E-27
1700067K01Rik	0.125189197	NA	-1.668725892	0.316453856	-1.543536694	0.466188218
1700084C01Rik	-1.636590933	NA	1.171490711	0.125	-0.465100222	0.603
1700084E18Rik	-0.326756481	0.846	-0.061314584	0.935	-0.388071064	0.611
1700086L19Rik	-0.041425658	0.91670896	0.024305142	0.884677387	-0.017120516	0.927499285
1700086O06Rik	-0.395954479	0.448028894	0.415877114	0.067821741	0.019922636	0.954382827
1700088E04Rik	0.01934556	0.969601561	0.958721276	1.83E-11	0.978066837	1.49E-09
1700092M07Rik	-0.821036946	NA	1.07576139	0.437977758	0.254724444	0.888573381
1700093K21Rik	-0.611012367	0.727460609	-0.175373906	0.839762535	-0.786386273	0.294796226
1700094D03Rik	-0.302981905	0.525132884	0.467387717	0.017943129	0.164405812	0.514379208
1700096K18Rik	-0.198344857	0.724621088	-0.345337751	0.102279891	-0.543682608	0.020555155
1700101E01Rik	0.522350593	0.793640173	-0.940930524	0.218066871	-0.41857993	0.652192342
1700101I11Rik	-3.392642904	NA	2.500085846	0.009061707	-0.892557058	0.380922636
1700102H20Rik	-0.706817604	0.589664476	0.174952455	0.793882008	-0.531865149	0.419909545
1700102P08Rik	-0.236351007	0.874166187	0.501578419	0.355939249	0.265227413	0.681927992
1700105P06Rik	-1.281700986	NA	0.131286395	0.910256981	-1.150414591	0.330669426
1700109H08Rik	-0.027430133	NA	-0.694883651	0.544292905	-0.722313785	0.513535962
1700110K17Rik	-0.014977092	0.985	0.408782771	0.0971	0.393805679	0.168
1700112E06Rik	-1.124165936	0.55332478	-0.100392472	0.922515541	-1.224558409	0.184880271
1700112J16Rik	-0.11312457	0.902742541	-0.154063305	0.675070394	-0.267187875	0.484337626
1700113A16Rik	0.127313098	0.840778683	-0.083670179	0.75825569	0.043642919	0.890489321
1700120C14Rik	2.113394344	NA	-1.039020109	0.23216967	1.074374235	0.274311894
1700123M08Rik	0.391378464	0.735643082	-0.556288472	0.218136411	-0.164910008	0.775052615
1700123O20Rik	0.124721145	0.642325541	0.130890606	0.245169942	0.255611751	0.033027699
1700124L16Rik	0.55307199	NA	-0.550983844	0.778243911	0.002088147	0.999820659
1810007C17Rik	0.158739314	NA	0.552337595	0.548984156	0.711076909	0.481383173
1810008I18Rik	0.194866744	0.56030816	0.032263353	0.854688571	0.227130098	0.162528417
1810009A15Rik	-1.76439718	0.135930933	0.077742366	0.920677807	-1.686654814	0.012102761
