Gene Name	deltaFC_Male	interaction_padj_Male	FC_Male_6hr_TGvsDMSO	padj_Male_6hr_TGvsDMSO	FC_Male_12hr_TGvsDMSO	padj_Male_12hr_TGvsDMSO
0610007P14Rik	0.315115229	0.18016103	0.181397035	0.195621534	0.496512263	0.000162059
0610009B22Rik	0.108016339	0.644286952	-0.010842812	0.940026543	0.097173527	0.440601243
0610009L18Rik	-0.503360751	0.41721092	-0.090945045	0.824995348	-0.594305796	0.072627035
0610009O20Rik	-0.020851363	0.921476953	0.039244514	0.700073121	0.018393152	0.865033592
0610010F05Rik	-0.045479509	0.854973941	-0.02792923	0.831706581	-0.073408739	0.54634775
0610010K14Rik	0.26711052	0.112	0.113314597	0.286	0.380425117	8.29E-05
0610011F06Rik	0.291330616	0.120346974	-0.423532489	3.52E-05	-0.132201874	0.267190998
0610012G03Rik	0.403502876	0.080235134	-0.016983195	0.923277976	0.38651968	0.005077453
0610030E20Rik	0.003063916	0.989802612	-0.106182851	0.320735611	-0.103118935	0.341090158
0610037L13Rik	0.05083847	0.819442322	0.193893838	0.041611977	0.244732307	0.01194767
0610039H22Rik	1.211138502	NA	2.435393658	0.000337747	3.64653216	2.09E-05
0610040B10Rik	0.358281632	0.722447188	-0.018108353	0.976554408	0.340173278	0.519186333
0610040F04Rik	3.85323479	NA	-1.357225483	0.236526481	2.496009307	0.010414493
0610040J01Rik	0.119478469	0.388980029	-0.506491807	1.35E-14	-0.387013338	3.90E-08
0610043K17Rik	1.59951256	NA	-1.393236166	0.309	0.206276394	0.883
1010001N08Rik	-1.285628508	NA	-0.35864783	0.741382007	-1.644276338	0.095498935
1110001J03Rik	0.540515377	0.045286486	0.482623693	0.002321696	1.02313907	4.43E-11
1110002L01Rik	0.231180291	0.241942785	0.139811079	0.230912054	0.370991369	0.000600245
1110004E09Rik	0.241233793	0.179830766	-0.079274215	0.49440404	0.161959578	0.133986833
1110004F10Rik	0.115027259	0.369901712	0.437565876	8.26E-13	0.552593135	1.60E-17
1110006O24Rik	-0.032750861	0.962268363	-0.462536699	0.080811629	-0.49528756	0.071338969
1110007C09Rik	0.420144036	0.0371	0.303759748	0.0105	0.723903784	1.13E-09
1110008F13Rik	0.306014405	0.065165419	0.418842936	5.77E-06	0.724857341	1.99E-14
1110008L16Rik	-0.120293911	0.743569783	-0.014033399	0.948081702	-0.13432731	0.479463026
1110008P14Rik	0.507487917	0.000171776	-0.050468219	0.634525094	0.457019698	9.56E-08
1110012L19Rik	0.067138014	0.81396831	0.014930828	0.925852236	0.082068842	0.564742067
1110017D15Rik	-0.963415269	0.269615623	0.414584722	0.426504747	-0.548830547	0.307521602
1110019D14Rik	-0.112912163	0.887	-0.022040385	0.96	-0.134952548	0.736
1110020A21Rik	-0.04055631	0.960389165	-0.279411934	0.419321003	-0.319968244	0.359067068
1110032A03Rik	0.079438688	0.750117398	0.114759113	0.351888696	0.194197801	0.096657357
1110032F04Rik	1.269517916	NA	2.519369869	0.441452842	3.788887784	0.22403665
1110034G24Rik	-0.23609355	0.464059449	0.126683861	0.495017778	-0.109409689	0.569372874
1110037F02Rik	-0.213434094	0.061120553	-0.105837042	0.132886396	-0.319271136	1.72E-06
1110038B12Rik	0.17533467	0.686153425	1.666122185	1.54E-20	1.841456856	6.75E-22
1110038F14Rik	0.324492268	0.063701648	-0.094445046	0.417306423	0.230047222	0.033762432
1110046J04Rik	0.358278611	0.797	-0.06400361	0.936	0.294275001	0.686
1110051M20Rik	-0.099683008	0.655121595	0.01829753	0.890573287	-0.081385478	0.499875282
1110059E24Rik	0.066121828	0.834594563	0.046358559	0.779518994	0.112480386	0.463466494
1110059G10Rik	0.231198589	0.446135547	-0.276293292	0.076056338	-0.045094703	0.817128844
1110065P20Rik	0.368266084	0.02859086	0.311423171	0.001704581	0.679689255	5.22E-12
1190002F15Rik	-0.077414075	NA	-0.76626661	0.352791381	-0.843680685	0.263628102
1190002N15Rik	-0.250632303	0.105	-0.460863312	3.33E-08	-0.711495615	1.33E-16
1190007I07Rik	0.208546672	0.558631624	0.258557934	0.158999821	0.467104606	0.007846745
1200014J11Rik	-0.225250099	0.178351886	0.040966612	0.719175483	-0.184283488	0.065113012
1300002E11Rik	-0.175208267	0.482	0.006224699	0.97	-0.168983567	0.217
1300017J02Rik	0.560578306	NA	-0.802345982	0.660176089	-0.241767676	0.900260688
1500004A13Rik	-0.72778819	0.403571311	0.133477514	0.811399561	-0.594310676	0.235816406
1500009L16Rik	-0.471309449	0.06822824	-0.84095203	1.21E-09	-1.312261478	1.39E-18
1500011B03Rik	0.122742079	0.481601816	0.712274341	2.44E-19	0.83501642	2.33E-23
1500011K16Rik	0.544863463	0.011024182	0.392954995	0.002447124	0.937818457	2.40E-13
1500012F01Rik	0.527794927	0.00712	0.94457967	3.30E-17	1.472374597	1.49E-36
1500012K07Rik	2.700212149	NA	-2.130250437	0.136785927	0.569961712	0.673158925
1500015A07Rik	-0.021495563	0.960540756	-0.034933046	0.867389855	-0.056428609	0.783449371
1500017E21Rik	-4.091305667	NA	1.441354762	0.425856285	-2.649950905	0.159417612
1500026H17Rik	-0.541323803	0.178576177	0.231761199	0.346082836	-0.309562604	0.217745027
1600002H07Rik	-0.137932611	0.713837711	-0.253349204	0.152910976	-0.391281814	0.029196534
1600002K03Rik	0.635133668	0.010908529	0.283209487	0.076569497	0.918343155	8.72E-10
1600012H06Rik	-0.000947243	0.996394439	-0.610632398	1.62E-15	-0.611579641	3.75E-14
1600014C10Rik	0.16038007	0.343386619	0.093995033	0.342597065	0.254375102	0.005117778
1600014C23Rik	2.668888357	NA	1.229917736	0.637544019	3.898806093	0.110865935
1600020E01Rik	-0.012745023	0.981142514	0.284183933	0.179103939	0.271438911	0.21694271
1600023N17Rik	-0.174776773	NA	-0.904764068	0.104830314	-1.079540841	0.061534031
1600029I14Rik	2.83828613	NA	-4.482767713	0.009241822	-1.644481583	0.283952899
1700001C02Rik	-1.859093367	NA	-0.645108692	0.74868956	-2.504202059	0.229323238
1700001C19Rik	0.497724109	0.320407326	1.357603413	2.34E-08	1.855327523	1.11E-12
1700001G11Rik	1.118283372	NA	-0.806894044	0.178297925	0.311389329	0.630815486
1700001G17Rik	0.822346556	0.27218162	-1.025496539	0.013752824	-0.203149983	0.666434772
1700001J03Rik	0.543364086	NA	0.21629785	0.793654006	0.759661936	0.316799701
1700001L05Rik	-0.382801048	0.458507826	-0.79806254	0.001540309	-1.180863588	4.01E-06
1700001L19Rik	-0.442789989	NA	0.192256174	0.924455483	-0.250533816	0.889962798
1700001P01Rik	-1.19578354	NA	2.662501769	0.119257959	1.466718228	0.532271851
1700003E16Rik	-0.087742346	0.886519257	-0.677999189	0.005344848	-0.765741535	0.003600266
1700003M02Rik	0.417887013	NA	0.285712958	0.810657162	0.703599971	0.512367936
1700003M07Rik	0.325042945	0.616640164	0.656636418	0.040223988	0.981679363	0.001083296
1700007K13Rik	-0.507474844	0.474747208	-0.476678685	0.197397321	-0.984153528	0.008530396
1700007L15Rik	-0.271852931	0.591	-0.100336498	0.738	-0.372189429	0.152
1700008J07Rik	-0.189659209	0.56446718	-0.394153287	0.012168191	-0.583812497	0.00025087
1700008O03Rik	0.545371442	NA	-0.245188837	0.847201408	0.300182605	0.819338785
1700010I14Rik	0.259002386	0.748298655	-0.410076753	0.302849962	-0.151074367	0.727973392
1700011A15Rik	-0.642971774	NA	1.982088454	0.276112776	1.33911668	0.453826149
1700012D01Rik	0.828553061	0.226050577	-1.184896552	0.002062778	-0.356343491	0.376272172
1700012D14Rik	0.085864895	NA	0.080030433	0.918857246	0.165895328	0.823774728
1700013F07Rik	0.630918363	0.566206489	0.225385079	0.73604524	0.856303443	0.12846254
1700015F17Rik	-0.527072931	NA	0.990798384	0.754980639	0.463725453	0.85922567
1700016K19Rik	1.08979295	0.008567342	1.935538024	1.09E-17	3.025330974	1.78E-32
