Gene,RB01,RB02,RB03,RB04,RB05,RB06,RB07,RB08,RB09,RB10,RB11,RB12,RB13,RB14,RB15,RB16,RB17
Xkr4,180,41,80,155,131,154,138,219,45,88,32,48,49,69,34,37,63
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sox17,85,49,67,125,110,108,70,97,19,37,16,38,41,42,20,48,38
Mrpl15,742,297,423,887,960,897,705,1218,186,370,240,305,355,305,196,281,444
Lypla1,1368,542,773,1263,1442,1385,1160,1824,383,687,462,666,654,452,410,606,699
Tcea1,2596,863,1552,2235,2822,2950,2415,3585,682,1117,769,1153,1146,901,681,825,1385
Rgs20,29,9,10,37,24,34,38,33,8,11,8,11,8,6,11,3,12
Atp6v1h,5336,1869,2971,4733,5364,5548,4771,7141,1175,2332,1557,2144,2337,1813,1291,1623,2464
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,2183,716,1217,1754,1915,2230,1998,3011,707,1218,827,1141,940,846,560,942,1074
Fam150a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St18,7342,2645,3542,6485,7502,7882,6632,10617,1569,3190,1937,2777,3058,2294,1591,2469,3583
Pcmtd1,2648,968,1504,2478,2856,3212,2650,4340,983,1841,1210,1558,1442,1182,902,1759,1568
Sntg1,720,292,319,633,729,801,639,1056,178,461,225,374,336,268,157,394,334
Rrs1,763,296,394,892,1018,887,652,987,147,328,216,293,352,252,170,247,319
Adhfe1,3,4,7,16,11,7,14,10,6,2,5,3,6,15,9,1,9
2610203C22Rik,4,2,0,7,6,4,3,5,3,4,2,1,3,2,1,5,3
3110035E14Rik,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mybl1,51,11,29,33,45,42,41,48,16,22,20,22,22,24,18,12,24
Vcpip1,2007,708,955,1910,2081,2085,1819,2796,468,930,582,804,802,628,473,822,973
1700034P13Rik,1,1,1,0,1,1,0,4,0,2,1,1,1,0,0,0,1
Sgk3,873,261,430,724,754,782,753,1132,247,481,353,506,367,356,232,392,378
Mcmdc2,6,2,0,5,5,6,1,3,1,3,0,2,3,3,2,0,1
Snhg6,227,60,119,236,212,227,173,278,34,86,39,62,85,53,44,38,94
Snord87,2,0,2,0,1,1,2,0,0,1,0,1,1,0,0,0,1
Tcf24,1067,378,699,724,763,1015,764,1032,266,476,331,407,529,344,290,360,401
Ppp1r42,106,16,69,87,50,68,62,84,52,58,42,42,42,57,32,18,61
Cops5,2874,1084,1432,2529,2954,2989,2260,3731,593,1203,772,1152,1258,847,626,965,1310
Cspp1,1362,513,756,1192,1338,1727,1407,2226,310,709,428,601,643,497,340,536,653
Arfgef1,8390,2590,4713,6631,6867,8766,8107,11354,2508,4621,2952,3990,3721,3266,2207,3251,4193
Cpa6,4,1,0,6,4,4,1,4,0,4,1,1,1,1,0,0,0
Mir467e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,99,32,43,80,95,98,79,93,34,40,19,38,33,41,20,30,39
A830018L16Rik,31,9,9,43,30,28,20,34,11,4,4,5,3,11,6,12,7
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,59,22,33,144,120,78,76,114,28,37,23,28,19,22,6,23,56
Slco5a1,48,14,21,28,37,54,35,57,12,28,10,21,17,12,9,8,20
Prdm14,25,2,5,19,16,27,23,27,7,18,7,16,14,10,3,11,10
Ncoa2,3936,1578,2036,3505,3802,4614,3385,5933,970,2277,1196,1758,1783,1330,936,1803,1679
Tram1,11895,4042,6610,9504,11039,11660,9690,14879,2742,4883,3313,4665,4623,3782,2581,3827,5328
Lactb2,1450,442,717,1179,1443,1377,1189,1880,313,568,350,492,565,442,320,423,575
Xkr9,2,2,4,3,2,4,4,4,3,0,1,2,1,1,0,4,1
Gm5523,15,5,11,15,6,10,5,9,6,3,3,2,0,4,1,4,5
Eya1,772,277,379,587,642,875,569,1020,169,328,234,319,292,258,201,247,242
Msc,2,1,2,5,10,8,2,2,1,2,1,1,1,0,0,0,0
Trpa1,64,26,43,53,55,65,71,78,9,25,11,12,19,18,16,9,21
