,GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
Xkr4,Xkr4,77.32862669,-0.059130887,0.122360581,-0.483251115,0.628917445,0.737443973,OK
Rp1,Rp1,0.073229458,0.021170021,0.030075461,0.703896819,0.481497033,NaN,Low
Sox17,Sox17,51.32668032,-0.129282539,0.136043617,-0.950302131,0.341958756,0.478637897,OK
Mrpl15,Mrpl15,438.2858354,-0.036181821,0.064783975,-0.558499557,0.576503307,0.694094242,OK
Lypla1,Lypla1,773.9560158,0.173480205,0.053491396,3.243142224,0.001182192,0.005645152,OK
Tcea1,Tcea1,1401.107113,0.017292195,0.067687185,0.255472208,0.798358406,0.86745742,OK
Rgs20,Rgs20,14.29591999,-0.170989839,0.160412051,-1.065941353,0.286450154,0.421480875,OK
Atp6v1h,Atp6v1h,2741.749038,-0.030177632,0.054286122,-0.555899575,0.578279509,0.695502427,OK
Oprk1,Oprk1,0,NaN,NaN,NaN,NaN,NaN,Low
Npbwr1,Npbwr1,0,NaN,NaN,NaN,NaN,NaN,Low
Rb1cc1,Rb1cc1,1232.355829,0.277261449,0.068917741,4.023078041,5.74E-05,0.000469887,OK
Fam150a,Fam150a,0,NaN,NaN,NaN,NaN,NaN,Low
St18,St18,3709.06241,-0.078521909,0.041061787,-1.912286718,0.055839428,0.119800422,OK
Pcmtd1,Pcmtd1,1778.766594,0.423409159,0.064251354,6.589886951,4.40E-11,2.58E-09,OK
Sntg1,Sntg1,406.9073961,0.197708158,0.071096748,2.780832649,0.005421968,0.019488207,OK
Rrs1,Rrs1,400.5101721,-0.187600169,0.071344512,-2.629496847,0.008551132,0.027966492,OK
Adhfe1,Adhfe1,8.032830272,0.274485822,0.155152316,1.769137769,0.076870886,NaN,Low
2610203C22Rik,2610203C22Rik,3.112081963,0.240293354,0.150170344,1.600138538,0.109567853,NaN,Low
3110035E14Rik,3110035E14Rik,0.084796257,0.012574025,0.03161967,0.397664665,0.690877387,NaN,Low
Mybl1,Mybl1,26.53974575,0.312250681,0.142855791,2.185775454,0.028832037,0.072232339,OK
Vcpip1,Vcpip1,1045.246647,0.004796226,0.04247193,0.11292696,0.910088462,0.943767497,OK
1700034P13Rik,1700034P13Rik,0.76825151,0.050146584,0.096350353,0.520460825,0.602742426,NaN,Low
Sgk3,Sgk3,482.2187759,0.352247368,0.078836973,4.468047861,7.89E-06,9.32E-05,OK
Mcmdc2,Mcmdc2,2.230910944,0.058584835,0.135783058,0.431459096,0.666134589,NaN,Low
Snhg6,Snhg6,97.25676723,-0.334479719,0.106522465,-3.13999228,0.001689523,0.007486681,OK
Snord87,Snord87,0.593650355,-0.004668788,0.086197131,-0.054164079,0.956804439,NaN,Low
Tcf24,Tcf24,529.4140673,0.157665603,0.104627991,1.506916088,0.131832167,0.235141145,OK
Ppp1r42,Ppp1r42,55.57631633,0.465702582,0.157902954,2.949296204,0.003184986,0.012705775,OK
Cops5,Cops5,1428.992348,-0.050844605,0.042833629,-1.187025399,0.235217602,0.364208754,OK
Cspp1,Cspp1,760.9247315,-0.00510359,0.058677781,-0.086976528,0.930690169,0.957482132,OK
Arfgef1,Arfgef1,4628.963599,0.238932026,0.070764239,3.376451573,0.000734273,0.003864905,OK
Cpa6,Cpa6,1.355143219,-0.067884879,0.119005617,-0.570434243,0.56838321,NaN,Low
Mir467e,Mir467e,0,NaN,NaN,NaN,NaN,NaN,Low
Prex2,Prex2,47.28523474,0.061801283,0.121012484,0.510701718,0.609559938,0.721829347,OK
A830018L16Rik,A830018L16Rik,12.82255057,-0.236688452,0.164202393,-1.441443376,0.149459463,0.25889623,OK
Mir6341,Mir6341,0,NaN,NaN,NaN,NaN,NaN,Low
Gm17644,Gm17644,0,NaN,NaN,NaN,NaN,NaN,Low
Sulf1,Sulf1,41.82385845,-0.15981495,0.157076562,-1.017433461,0.308947271,0.445108866,OK
Slco5a1,Slco5a1,21.50593725,0.028837939,0.145380443,0.198361889,0.842761933,0.899438523,OK
Prdm14,Prdm14,12.44730958,0.356618121,0.160758485,2.218347104,0.026531175,0.067801344,OK
Ncoa2,Ncoa2,2157.854166,0.070334743,0.051115975,1.375983596,0.168826712,0.283382546,OK
Tram1,Tram1,5833.255523,-0.013983292,0.054581704,-0.256190096,0.797804056,0.867128999,OK
Lactb2,Lactb2,680.0226982,-0.095018789,0.058021958,-1.637634989,0.10149786,0.19117167,OK
Xkr9,Xkr9,2.19046901,0.034814375,0.13421183,0.25939871,0.795327625,NaN,Low
Gm5523,Gm5523,5.512106495,-0.114551195,0.156342944,-0.732691813,0.463746418,NaN,Low
Eya1,Eya1,376.4875361,0.006306698,0.080404714,0.078436916,0.937480509,0.962221543,OK
Msc,Msc,1.574457839,-0.194894872,0.123401163,-1.579360093,0.114253485,NaN,Low
Trpa1,Trpa1,28.45317857,-0.437694342,0.142343606,-3.074913965,0.002105633,0.009002922,OK
Kcnb2,Kcnb2,109.5789794,0.160821312,0.095391386,1.685910217,0.091813094,0.176827597,OK
Terf1,Terf1,208.2317597,0.012668468,0.071977153,0.176006799,0.860288601,0.910772934,OK
Sbspon,Sbspon,0.199848552,-0.065680816,0.052101657,-1.260628167,0.207442845,NaN,Low
4930444P10Rik,4930444P10Rik,1.064432745,0.065304521,0.09929794,0.6576624,0.510755088,NaN,Low
Rpl7,Rpl7,8401.510177,0.015319151,0.054996755,0.278546445,0.780592917,0.854225559,OK
Rdh10,Rdh10,207.4895881,-0.259003529,0.081059743,-3.195217755,0.001397254,0.006425406,OK
Stau2,Stau2,894.8275412,0.189965506,0.046613846,4.075302125,4.60E-05,0.000390302,OK
Ube2w,Ube2w,1112.57102,0.211334374,0.082923206,2.548555281,0.010817014,0.033679859,OK
Tceb1,Tceb1,768.306216,0.027360766,0.054385594,0.503088484,0.614902063,0.725906262,OK
D030040B21Rik,D030040B21Rik,0.479160697,-0.075140511,0.082509131,-0.910693281,0.362457005,NaN,Low
Tmem70,Tmem70,420.3671366,0.112330452,0.058414386,1.922992958,0.054480934,0.11738227,OK
Ly96,Ly96,175.4590247,0.347858579,0.135982427,2.558114202,0.010524152,0.032988484,OK
Jph1,Jph1,16.38017384,-0.132996948,0.162239726,-0.819755746,0.412355364,0.548332604,OK
Gdap1,Gdap1,2183.878185,0.122393527,0.049841157,2.455671848,0.01406215,0.041357694,OK
Pi15,Pi15,21.6797898,-0.020802357,0.151468787,-0.137337582,0.890763966,0.931313113,OK
Gm16070,Gm16070,0,NaN,NaN,NaN,NaN,NaN,Low
Crispld1,Crispld1,2.660676445,0.037650842,0.142122476,0.264918284,0.791072413,NaN,Low
Crisp4,Crisp4,0,NaN,NaN,NaN,NaN,NaN,Low
Defb44-ps,Defb44-ps,0,NaN,NaN,NaN,NaN,NaN,Low
Defb18,Defb18,0,NaN,NaN,NaN,NaN,NaN,Low
Defb41,Defb41,0,NaN,NaN,NaN,NaN,NaN,Low
Gm15386,Gm15386,0,NaN,NaN,NaN,NaN,NaN,Low
Tfap2d,Tfap2d,0,NaN,NaN,NaN,NaN,NaN,Low
Tfap2b,Tfap2b,0,NaN,NaN,NaN,NaN,NaN,Low
Pkhd1,Pkhd1,204.0154119,0.103569002,0.078325461,1.32229036,0.186071481,0.304708107,OK
4930486I03Rik,4930486I03Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Linc-md1,Linc-md1,0,NaN,NaN,NaN,NaN,NaN,Low
Mir206,Mir206,0,NaN,NaN,NaN,NaN,NaN,Low
Mir133b,Mir133b,0,NaN,NaN,NaN,NaN,NaN,Low
Il17a,Il17a,0.12793959,-0.038574588,0.04113539,-0.937746997,0.348374445,NaN,Low
Il17f,Il17f,0.108715526,-0.034405637,0.039704547,-0.866541477,0.386193291,NaN,Low
Mcm3,Mcm3,127.5973142,-0.247099444,0.109712403,-2.252247121,0.02430666,0.063232243,OK
6720483E21Rik,6720483E21Rik,2.456607093,-0.078350824,0.142279126,-0.5506839,0.581850383,NaN,Low
Paqr8,Paqr8,111.2224785,0.133519453,0.093911114,1.421764134,0.155094735,0.266344041,OK
Efhc1,Efhc1,204.6533109,0.30816749,0.098300492,3.13495368,0.001718812,0.007589204,OK
Tram2,Tram2,47.09060056,0.016163164,0.115591481,0.139830065,0.888794259,0.929955909,OK
