MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		negative regulation of PERK-mediated unfolded protein response	happens in neuron		IMP		J:231748 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		response to endoplasmic reticulum stress			ISO	RGD:1584969 	J:155856 	
MGI:1344405	Agr2	anterior gradient 2	12		positive regulation of IRE1-mediated unfolded protein response			ISO	O95994 	J:164563 	
MGI:1344405	Agr2	anterior gradient 2	12		positive regulation of PERK-mediated unfolded protein response			ISO	O95994 	J:164563 	
MGI:1349419	Aifm1	apoptosis-inducing factor, mitochondrion-associated 1	X		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:131590 	
MGI:87999	Alox5	arachidonate 5-lipoxygenase	6		negative regulation of response to endoplasmic reticulum stress			IMP		J:253033 	
MGI:87997	Alox15	arachidonate 15-lipoxygenase	11		response to endoplasmic reticulum stress			IMP		J:184646 	
MGI:1345634	Amfr	autocrine motility factor receptor	8		endoplasmic reticulum unfolded protein response			IBA	PTN000967651 	J:265628 	
MGI:1345634	Amfr	autocrine motility factor receptor	8		endoplasmic reticulum unfolded protein response			ISO	Q9UKV5 	J:164563 	
MGI:1345634	Amfr	autocrine motility factor receptor	8		ubiquitin-dependent ERAD pathway			ISO	Q9UKV5 	J:164563 	
MGI:1919324	Anks4b	ankyrin repeat and sterile alpha motif domain containing 4B	7		response to endoplasmic reticulum stress			IMP		J:188369 	
MGI:1098746	Ankzf1	ankyrin repeat and zinc finger domain containing 1	1		ubiquitin-dependent ERAD pathway			IBA	PTN000411325 	J:265628 	
MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	10		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:219625 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		positive regulation of response to endoplasmic reticulum stress			ISO	P05067 	J:164563 	
MGI:1913583	Aqp11	aquaporin 11	7		negative regulation of ERAD pathway			IMP		J:140244 	
MGI:1913583	Aqp11	aquaporin 11	7		negative regulation of response to endoplasmic reticulum stress			IMP		J:140244 	
MGI:109384	Atf3	activating transcription factor 3	1		endoplasmic reticulum unfolded protein response			IMP		J:124910 	
MGI:109384	Atf3	activating transcription factor 3	1		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	P18847 	J:164563 	
MGI:88096	Atf4	activating transcription factor 4	15		endoplasmic reticulum unfolded protein response			IDA		J:198492 	
MGI:88096	Atf4	activating transcription factor 4	15		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IDA		J:198492 	
MGI:88096	Atf4	activating transcription factor 4	15		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			IMP		J:167725 	
MGI:88096	Atf4	activating transcription factor 4	15		PERK-mediated unfolded protein response			IDA		J:137331 	
MGI:88096	Atf4	activating transcription factor 4	15		PERK-mediated unfolded protein response			IMP		J:124910 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	uses UniProtKB:P20029		IMP		J:217287 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	uses UniProtKB:Q9WVS6,happens in primary neuron		IMP		J:186974 	
MGI:88096	Atf4	activating transcription factor 4	15		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	P18848 	J:164563 	
MGI:88096	Atf4	activating transcription factor 4	15		response to endoplasmic reticulum stress			IDA		J:99455 J:167725 	
MGI:88096	Atf4	activating transcription factor 4	15		response to endoplasmic reticulum stress			ISO	P18848 	J:164563 	
MGI:1926157	Atf6	activating transcription factor 6	1		endoplasmic reticulum unfolded protein response			IBA	PTN005284906 	J:265628 	
MGI:1926157	Atf6	activating transcription factor 6	1		positive regulation of ATF6-mediated unfolded protein response			ISO	P18850 	J:164563 	
MGI:1926157	Atf6	activating transcription factor 6	1		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	P18850 	J:164563 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17		endoplasmic reticulum unfolded protein response			IBA	PTN005284906 	J:265628 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17		negative regulation of ATF6-mediated unfolded protein response			ISO	Q99941 	J:164563 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17		positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress			ISO	Q99941 	J:164563 	
MGI:1914045	Atg10	autophagy related 10	13		ER overload response			ISO	Q9H0Y0 	J:164563 	
MGI:105058	Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	7		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	O14983 	J:164563 	
MGI:105058	Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	7		response to endoplasmic reticulum stress			ISO	O14983 	J:164563 	
MGI:1194503	Atp2a3	ATPase, Ca++ transporting, ubiquitous	11		intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress			ISO	Q93084 	J:164563 	
MGI:107789	Aup1	ancient ubiquitous protein 1	6		ER-associated misfolded protein catabolic process			ISO	Q9Y679 	J:164563 	
MGI:107789	Aup1	ancient ubiquitous protein 1	6		retrograde protein transport, ER to cytosol			ISO	Q9Y679 	J:164563 	
MGI:107789	Aup1	ancient ubiquitous protein 1	6		ubiquitin-dependent ERAD pathway			IBA	PTN000397938 	J:265628 	
