MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1922258	4930486L24Rik	RIKEN cDNA 4930486L24 gene	13		protein autoprocessing			ISO	P07711 	J:164563 	
MGI:1922258	4930486L24Rik	RIKEN cDNA 4930486L24 gene	13		zymogen activation			ISO	P07711 	J:164563 	
MGI:3644563	Acp4	acid phosphatase 4	7		negative regulation of protein processing			ISO	Q9BZG2 	J:164563 	
MGI:105376	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma)	8		protein processing			ISO	Q13443 	J:164563 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		protein processing			IDA		J:160170 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		protein processing			ISO	P78536 	J:164563 	
MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	11		protein processing			ISO	Q9H013 	J:164563 	
MGI:1347356	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	11		protein processing	has the participant Col3a1|has the participant Col1a1|has the participant Col1a2		IMP	MGI:2388161 	J:107394 	
MGI:3045353	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	5		protein processing	has the participant Col1a1|has the participant Col1a2		IDA		J:107394 	
MGI:3045353	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	5		protein processing			ISO	O15072 	J:164563 	
MGI:1197012	Aebp1	AE binding protein 1	11	NOT	protein processing			IBA	PTN000164240 PTN002609584 	J:265628 	
MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	8		mitochondrial protein processing			IBA	PTN000554085 	J:265628 	
MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	8		mitochondrial protein processing			IDA		J:164484 	
MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	8		mitochondrial protein processing			IGI	MGI:1916847 	J:156874 	
MGI:1928277	Afg3l1	AFG3-like AAA ATPase 1	8		protein processing			IDA		J:164484 	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18		mitochondrial protein processing			IBA	PTN000554085 	J:265628 	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18		mitochondrial protein processing			IDA		J:164484 	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18		mitochondrial protein processing			IGI	MGI:1928277 	J:156874 	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18		protein autoprocessing			IMP		J:164484 	
MGI:1916847	Afg3l2	AFG3-like AAA ATPase 2	18		protein processing			IDA		J:164484 	
MGI:3643534	Angptl8	angiopoietin-like 8	9		positive regulation of protein processing			ISO	Q6UXH0 	J:73065 	
MGI:2385110	Aph1a	aph1 homolog A, gamma secretase subunit	3		protein processing			IBA	PTN000306732 	J:265628 	
MGI:2385110	Aph1a	aph1 homolog A, gamma secretase subunit	3		protein processing			ISA	Q96B13 	J:80170 	
MGI:2385110	Aph1a	aph1 homolog A, gamma secretase subunit	3		protein processing			ISO	Q96BI3 	J:164563 	
MGI:3522097	Aph1b	aph1 homolog B, gamma secretase subunit	9		protein processing			IBA	PTN000306732 	J:265628 	
MGI:3522097	Aph1b	aph1 homolog B, gamma secretase subunit	9		protein processing			ISO	Q8WW43 	J:164563 	
MGI:1915568	Aph1c	aph1 homolog C, gamma secretase subunit	9		protein processing			IBA	PTN000306732 	J:265628 	
MGI:1915568	Aph1c	aph1 homolog C, gamma secretase subunit	9		protein processing			IGI	MGI:2385110 	J:95769 	
MGI:1915568	Aph1c	aph1 homolog C, gamma secretase subunit	9		protein processing			ISA	Q8WW43 	J:80170 	
MGI:1915568	Aph1c	aph1 homolog C, gamma secretase subunit	9		protein processing			ISO	Q8WW43 	J:164563 	
MGI:88058	Apoh	apolipoprotein H	11		plasminogen activation			ISO	P02749 	J:164563 	
MGI:1923469	Arxes1	adipocyte-related X-chromosome expressed sequence 1	X		signal peptide processing			IBA	PTN000301433 	J:265628 	
MGI:1924226	Arxes2	adipocyte-related X-chromosome expressed sequence 2	X		signal peptide processing			IBA	PTN000301433 	J:265628 	
MGI:1914186	Asph	aspartate-beta-hydroxylase	4		activation of cysteine-type endopeptidase activity			ISO	Q12797 	J:164563 	
MGI:1915105	Asprv1	aspartic peptidase, retroviral-like 1	6		protein processing			IDA		J:116504 	
MGI:1915105	Asprv1	aspartic peptidase, retroviral-like 1	6		protein processing			ISO	Q53RT3 	J:164563 	
MGI:3046414	Astl	astacin-like metalloendopeptidase (M12 family)	2		positive regulation of protein processing			IDA		J:185161 	
MGI:1917745	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2	X		angiotensin maturation			ISO	O75787 	J:164563 	
MGI:1916984	Atp23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	10		mitochondrial protein processing			IBA	PTN000496388 	J:265628 	
MGI:1346542	Bace1	beta-site APP cleaving enzyme 1	9		protein processing			ISO	P56817 	J:164563 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		activation of cysteine-type endopeptidase activity			IBA	PTN002004008 	J:265628 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		activation of cysteine-type endopeptidase activity			ISO	Q92934 	J:164563 	
MGI:1891254	Bag2	BCL2-associated athanogene 2	1		positive regulation of protein processing			ISO	O95816 	J:164563 	
MGI:1097161	Bak1	BCL2-antagonist/killer 1	17		activation of cysteine-type endopeptidase activity			ISO	Q16611 	J:164563 	
MGI:2682300	BC051665	cDNA sequence BC051665	13		protein autoprocessing			ISO	P07711 	J:164563 	
MGI:2682300	BC051665	cDNA sequence BC051665	13		zymogen activation			ISO	P07711 	J:164563 	
MGI:1922986	Bcl2l12	BCL2-like 12 (proline rich)	7		inhibition of cysteine-type endopeptidase activity involved in apoptotic process			ISO	Q9HB09 	J:164563 	
MGI:1355313	C1ra	complement component 1, r subcomponent A	6		zymogen activation			IBA	PTN002799295 	J:265628 	
MGI:1355313	C1ra	complement component 1, r subcomponent A	6		zymogen activation			ISO	P00736 	J:164563 	
MGI:3779804	C1rb	complement component 1, r subcomponent B	6		zymogen activation			IBA	PTN002799295 	J:265628 	
MGI:3779804	C1rb	complement component 1, r subcomponent B	6		zymogen activation			ISO	P00736 	J:164563 	
MGI:2660692	C1rl	complement component 1, r subcomponent-like	6		zymogen activation			IBA	PTN002799295 	J:265628 	
MGI:2142166	C2cd3	C2 calcium-dependent domain containing 3	7		protein processing			IMP		J:142506 	
MGI:88263	Capn1	calpain 1	19		protein autoprocessing			ISO	RGD:2267 	J:155856 	
MGI:88264	Capn2	calpain 2	1		protein autoprocessing			ISO	RGD:2268 	J:155856 	
MGI:96544	Casp1	caspase 1	9		cytokine precursor processing			ISO	P29466 	J:164563 	
MGI:96544	Casp1	caspase 1	9		protein autoprocessing			IDA		J:306581 	
MGI:96544	Casp1	caspase 1	9		protein autoprocessing			ISO	P29466 	J:164563 	
MGI:96544	Casp1	caspase 1	9		protein processing	happens in peritoneal macrophage		IDA		J:66835 	
MGI:96544	Casp1	caspase 1	9		protein processing			IDA		J:91292 	
MGI:96544	Casp1	caspase 1	9		protein processing			IMP	MGI:1927822 	J:88212 	
MGI:96544	Casp1	caspase 1	9		protein processing	has the participant Il1b		IMP		J:122152 	
MGI:96544	Casp1	caspase 1	9		signaling receptor ligand precursor processing			ISO	P29466 	J:164563 	
MGI:97295	Casp2	caspase 2	6		protein processing			ISO	P42575 	J:164563 	
MGI:107739	Casp3	caspase 3	8		protein processing	has the participant Bcl2l1		IDA		J:93470 	
MGI:107700	Casp4	caspase 4, apoptosis-related cysteine peptidase	9		protein autoprocessing			IDA		J:296118 	
MGI:109383	Casp7	caspase 7	19		protein processing	happens in neuron,has the participant Bcl2l1		IDA		J:93470 	
