MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2384560	Aars	alanyl-tRNA synthetase	8		alanyl-tRNA aminoacylation			IBA	PTN000206950 	J:265628 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		alanyl-tRNA aminoacylation			IDA		J:242411 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		alanyl-tRNA aminoacylation			IMP	MGI:3618596 	J:110647 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		alanyl-tRNA aminoacylation			ISO	RGD:1304832 	J:155856 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		alanyl-tRNA aminoacylation			ISO	P49588 	J:164563 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		regulation of cytoplasmic translational fidelity			IMP		J:216802 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		translation			IEA	KW-0648 	J:60000 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		alanyl-tRNA aminoacylation			IBA	PTN000206950 	J:265628 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		mitochondrial alanyl-tRNA aminoacylation			ISO	Q5JTZ9 	J:164563 	
MGI:2681839	Aars2	alanyl-tRNA synthetase 2, mitochondrial	17		translation			IEA	KW-0648 	J:60000 	
MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing 1	11		alanyl-tRNA aminoacylation			IEA	IPR018165 	J:72247 	
MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing 1	11		translation			IEA	KW-0648 	J:60000 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	8		regulation of translation			IEA	KW-0810 	J:60000 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	8		translational initiation			IBA	PTN000443727 	J:265628 	
MGI:1195458	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	8		translational termination			IBA	PTN000443727 	J:265628 	
MGI:1351658	Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	17		positive regulation of translation			ISO	Q8NE71 	J:164563 	
MGI:1351658	Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	17		translational initiation			ISO	Q8NE71 	J:164563 	
MGI:1933148	Abtb1	ankyrin repeat and  BTB (POZ) domain containing 1	6		translation			IEA	KW-0648 	J:60000 	
MGI:1933148	Abtb1	ankyrin repeat and  BTB (POZ) domain containing 1	6		translational elongation			IEA	KW-0251 	J:60000 	
MGI:87879	Aco1	aconitase 1	4		regulation of translation	regulates a function/process that happens in metanephros,regulates Fth1|regulates a function/process that happens in brown fat,regulates Fth1		IMP	MGI:3029223 	J:87889 	
MGI:103258	Adad1	adenosine deaminase domain containing 1 (testis specific)	3	NOT	regulation of translation	regulates Prm2|regulates Gapdhs|regulates Odf2		IMP	MGI:3574372 	J:96477 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		miRNA mediated inhibition of translation			ISO	Q9UL18 	J:164563 	
MGI:2446630	Ago1	argonaute RISC catalytic subunit 1	4		regulation of translation			IEA	KW-0810 	J:60000 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		miRNA mediated inhibition of translation			ISO	Q9UKV8 	J:164563 	
MGI:2446632	Ago2	argonaute RISC catalytic subunit 2	15		negative regulation of translational initiation			ISO	Q9UKV8 	J:164563 	
