MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917115	A1cf	APOBEC1 complementation factor	19		positive regulation of protein secretion			ISO	RGD:619834 	J:155856 	
MGI:1926144	Aacs	acetoacetyl-CoA synthetase	5		positive regulation of insulin secretion			IBA	PTN002873124 	J:265628 	
MGI:1926144	Aacs	acetoacetyl-CoA synthetase	5		positive regulation of insulin secretion			ISO	RGD:708522 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		negative regulation of dopamine secretion			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		negative regulation of gamma-aminobutyric acid secretion			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		positive regulation of aspartate secretion			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		positive regulation of insulin secretion			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		positive regulation of prolactin secretion			ISO	RGD:620948 	J:155856 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		peptide secretion			IMP	MGI:1935192 	J:93331 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		protein secretion	happens in macrophage,is a part of interleukin-1 beta production,uses UniProtKB:P10749		IMP		J:266038 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		protein secretion			ISO	O95477 	J:164563 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		signal release	happens in macrophage,is a part of interleukin-1 beta production,uses UniProtKB:P10749		IMP		J:266038 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		signal release			ISO	O95477 	J:164563 	
MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	1		regulated exocytosis			ISO	Q86UK0 	J:164563 	
MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	1		regulation of insulin secretion involved in cellular response to glucose stimulus			IMP		J:285784 	
MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	1		secretion by cell			ISO	Q86UK0 	J:164563 	
MGI:97569	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5		bile acid secretion			IMP		J:15531 	
MGI:1351619	Abcb11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	2		canalicular bile acid transport			IBA	PTN002795062 	J:265628 	
